Epoch	TestSuccesRate	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
0	0.1	2500	-0.5716995	0.16760981	0.059710205	-1.1443024	0.56831163	0.16859232	10.868716955184937
1	0.0	5000	-0.9994083	0.14017805	-0.6788631	-2.1847773	0.9963511	0.16006286	21.48300814628601
2	0.0	7500	-1.3871725	0.13546412	-1.04032	-2.5817833	1.3854102	0.15618087	32.00576877593994
3	0.0	10000	-1.749112	0.12417398	-1.4164461	-2.909539	1.7477177	0.15430854	43.17501258850098
4	0.0	12500	-2.1027634	0.12218552	-1.777126	-3.2265244	2.1015718	0.1549459	54.25942873954773
5	0.0	15000	-2.4544258	0.12045968	-2.0728528	-3.6190085	2.4532485	0.15628806	65.44053530693054
6	0.1	17500	-2.7913942	0.1123024	-2.3530636	-4.1671896	2.790502	0.15476887	76.62700748443604
7	0.0	20000	-3.0932608	0.109067	-2.7345634	-4.549882	3.0924947	0.15435216	87.82808208465576
8	0.0	22500	-3.3882353	0.10757301	-2.9750228	-4.9764404	3.3876183	0.15472522	99.7247531414032
9	0.0	25000	-3.6885388	0.10911198	-3.1694677	-5.773987	3.6879623	0.154754	111.1025230884552
10	0.0	27500	-3.955129	0.10021898	-3.3576605	-6.334334	3.9546113	0.1541913	122.05121064186096
11	0.0	30000	-4.214234	0.09682979	-3.6635027	-6.9365506	4.2138553	0.15428409	132.9106583595276
12	0.1	32500	-4.4636703	0.095031515	-3.8494844	-7.8747973	4.463128	0.15458256	144.5940535068512
13	0.0	35000	-4.698877	0.09359929	-3.944327	-8.464192	4.698577	0.15498668	156.66971635818481
14	0.1	37500	-4.9261093	0.092410386	-4.1436205	-8.92572	4.9258375	0.15406525	169.481055021286
15	0.0	40000	-5.1362233	0.09142571	-4.0735292	-9.647715	5.1360865	0.15413012	183.60729026794434
16	0.0	42500	-5.3408976	0.08861611	-4.1479635	-9.581675	5.340722	0.15449266	197.65985345840454
17	0.1	45000	-5.525469	0.086295694	-4.299035	-9.763971	5.525292	0.1544545	211.598069190979
18	0.1	47500	-5.7117577	0.085999675	-4.3938026	-9.470604	5.711629	0.1552942	225.82400679588318
19	0.1	50000	-5.8816237	0.08295101	-4.5607433	-9.624676	5.8816357	0.15617122	240.15146255493164
20	0.1	52500	-6.048399	0.08721834	-4.63625	-9.731635	6.0483375	0.15582834	254.53439927101135
21	0.0	55000	-6.2258506	0.08912377	-4.767414	-10.279832	6.2257743	0.15607363	269.12603783607483
22	0.1	57500	-6.3982882	0.08693858	-5.0844016	-11.007589	6.398173	0.15642956	283.4832479953766
23	0.0	60000	-6.5614424	0.08322022	-5.2355256	-11.5171385	6.5613527	0.15630828	295.7848856449127
24	0.1	62500	-6.708382	0.08593435	-5.34919	-11.438525	6.708315	0.15580052	308.3414943218231
25	0.1	65000	-6.8488703	0.088798	-5.112273	-10.347235	6.848936	0.15622932	320.9618647098541
26	0.0	67500	-6.9808693	0.08520037	-5.6336823	-9.8981495	6.9809184	0.15590435	333.3302643299103
27	0.2	70000	-7.1103873	0.08443049	-5.7494717	-10.07526	7.110418	0.1563299	345.5168368816376
28	0.1	72500	-7.240121	0.083535664	-5.978996	-9.434245	7.2400284	0.15603724	357.6442017555237
29	0.0	75000	-7.3590517	0.08220587	-6.0501685	-9.654663	7.3590727	0.15624467	369.706684589386
30	0.2	77500	-7.466198	0.08071576	-5.9582896	-9.571985	7.4661684	0.15679987	381.7796411514282
31	0.0	80000	-7.5679865	0.080937706	-6.124331	-10.037761	7.567794	0.15682235	394.66091084480286
32	0.1	82500	-7.6678686	0.08390544	-6.11902	-9.572961	7.667721	0.15691037	407.6898605823517
33	0.1	85000	-7.7680335	0.08463828	-5.978016	-9.621919	7.767756	0.15689704	420.1603012084961
34	0.0	87500	-7.839884	0.08393723	-5.889947	-9.217814	7.839547	0.15661836	432.8169541358948
35	0.1	90000	-7.9123306	0.088192075	-5.907632	-9.09724	7.9118185	0.15738104	445.5928750038147
36	0.1	92500	-7.9775944	0.093543515	-5.9365096	-9.330478	7.976952	0.1578863	458.4406006336212
37	0.2	95000	-8.038225	0.106302015	-4.5768557	-9.230626	8.037604	0.15871966	471.15325474739075
38	0.0	97500	-8.106635	0.118183926	-5.106228	-9.261678	8.105917	0.15817149	484.18635296821594
39	0.1	100000	-8.186843	0.13194153	-3.8910093	-9.536624	8.18576	0.15911004	498.1668517589569
40	0.1	102500	-8.254776	0.14780864	-4.560277	-9.298235	8.2524185	0.15975201	512.3949303627014
41	0.0	105000	-8.29804	0.17182821	-1.141765	-9.373832	8.293082	0.1601371	526.2366228103638
42	0.1	107500	-8.320649	0.1972019	-4.428907	-9.265814	8.312481	0.1594646	540.1020364761353
43	0.0	110000	-8.338483	0.22580242	-4.487301	-9.420366	8.3270235	0.16000715	554.1259462833405
44	0.1	112500	-8.347901	0.25263953	-3.4218662	-9.2794285	8.335514	0.15999225	568.1340363025665
45	0.0	115000	-8.360714	0.26870552	-4.0160227	-9.361325	8.34757	0.16145949	581.990510225296
46	0.0	117500	-8.374794	0.27443573	-3.2732785	-9.855794	8.361164	0.16222091	596.1496577262878
47	0.2	120000	-8.374172	0.27233034	-3.360092	-9.631283	8.360852	0.16248426	611.2124266624451
48	0.1	122500	-8.39495	0.26375684	-4.032615	-9.589642	8.384154	0.16229723	626.2857027053833
49	0.2	125000	-8.438243	0.2524158	-4.437874	-9.851682	8.4292965	0.16284256	640.8456678390503
50	0.0	127500	-8.480719	0.24171726	-4.7828026	-9.684816	8.473619	0.16346905	656.001939535141
51	0.0	130000	-8.516385	0.22966298	-4.605828	-9.868378	8.510242	0.163345	671.7808017730713
52	0.1	132500	-8.557947	0.21972267	-5.26739	-9.909066	8.553212	0.16367102	687.3788182735443
53	0.1	135000	-8.626869	0.21104553	-4.7679806	-9.910728	8.623308	0.16400144	703.0572965145111
54	0.0	137500	-8.674463	0.20280306	-5.0034804	-9.944921	8.671324	0.16324659	718.9935212135315
55	0.0	140000	-8.729644	0.19532578	-5.075845	-9.753186	8.727181	0.16388217	734.673773765564
56	0.0	142500	-8.789232	0.19143896	-5.102516	-9.959185	8.787026	0.1647457	750.4499139785767
57	0.0	145000	-8.843181	0.1844536	-5.2344236	-9.773971	8.841493	0.16395679	765.9012770652771
58	0.1	147500	-8.907676	0.17950104	-5.6870656	-10.017942	8.906144	0.16437903	781.493494272232
59	0.0	150000	-8.956611	0.17625539	-5.5749855	-9.956354	8.955279	0.16346058	797.1251394748688
60	0.0	152500	-9.012014	0.17042466	-5.591284	-9.984972	9.010869	0.1640506	813.4613997936249
61	0.1	155000	-9.063268	0.16760288	-5.876163	-10.113531	9.062262	0.1644678	829.751870393753
62	0.1	157500	-9.116337	0.16286989	-5.7827425	-10.147717	9.115492	0.16434787	845.5758755207062
63	0.0	160000	-9.1679325	0.15937386	-6.3763714	-10.17968	9.16712	0.16448377	861.4123463630676
64	0.1	162500	-9.211108	0.1568999	-6.44555	-10.249461	9.210365	0.16347986	877.3132829666138
65	0.2	165000	-9.2502165	0.15452369	-6.4659505	-10.243375	9.249456	0.16370304	893.2594482898712
66	0.1	167500	-9.302586	0.15280472	-6.703103	-10.323706	9.301956	0.16379447	909.0441949367523
67	0.1	170000	-9.352049	0.15234913	-6.669122	-10.305262	9.351361	0.16345768	924.9152872562408
68	0.0	172500	-9.396043	0.14862008	-6.282893	-10.371773	9.395422	0.16390662	941.1889486312866
69	0.2	175000	-9.433072	0.14665088	-6.373454	-10.280653	9.432545	0.16368024	957.4567277431488
70	0.2	177500	-9.476372	0.14535606	-6.0725355	-10.289906	9.475873	0.16364908	974.0449018478394
71	0.2	180000	-9.505806	0.14279631	-6.2302847	-10.401102	9.505313	0.16390143	990.8434615135193
72	0.2	182500	-9.534476	0.14196801	-6.1552157	-10.374761	9.534134	0.16385484	1007.4890050888062
73	0.1	185000	-9.562172	0.1393303	-6.3730683	-10.331931	9.561851	0.16323657	1024.1491611003876
