Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.060402	10.194241	70.0	8.0	20.060402	0.09627024	0.074777	0.37532222	-0.10612637	3000	-1.0172526e-08	214.77118	-0.018749299	-126.75034	0.6865677	0.008433095	0.14933333	79.0	2.7539219856262207
1	25.529915	14.557621	93.0	10.0	25.529915	8.194186	0.34889486	8.704147	6.1006017	6000	-1.3987223e-08	169.28293	-0.020978335	-57.42836	0.6909928	0.007257453	0.09866667	79.0	5.118356227874756
2	32.824177	22.155094	111.0	9.0	32.824177	13.132239	2.8570871	14.653699	-9.483972	9000	-4.2597453e-08	250.20575	-0.018395584	-52.334274	0.67953706	0.017091468	0.14333333	13.0	7.398350238800049
3	40.52055	26.008486	173.0	14.0	40.52055	18.95632	2.047205	19.721098	-3.41922	12000	-2.9246012e-08	290.66364	-0.016170777	-19.445587	0.66207665	0.0051805666	0.063	79.0	9.784268856048584
4	60.795918	32.28001	152.0	13.0	60.795918	22.01149	2.8749115	22.851	-18.091183	15000	-1.0172526e-08	383.63132	-0.01816994	-61.930695	0.6475177	0.0067309416	0.059666667	79.0	12.38320016860962
5	87.32353	52.10155	200.0	15.0	87.32353	27.25599	4.3931828	28.709974	-18.29882	18000	1.5258788e-08	644.8306	-0.014893773	-153.89896	0.63468593	0.0040585366	0.062	79.0	14.797200202941895
6	124.166664	51.711273	200.0	24.0	124.166664	35.37118	4.733319	36.89175	-12.792113	21000	2.0345052e-08	620.16425	-0.010763819	-206.96326	0.6227606	0.007791187	0.072	79.0	17.146966695785522
7	165.47058	41.370804	200.0	56.0	165.47058	40.517273	7.5879183	44.49899	11.007792	24000	1.6530354e-08	573.0092	-0.004286805	-207.98111	0.6073147	0.009303128	0.061	79.0	19.510347366333008
8	149.6842	48.422543	200.0	36.0	149.6842	45.892376	10.239973	52.731236	19.917881	27000	-1.2715658e-08	408.2216	-0.008906634	-55.883667	0.6122639	0.0060684294	0.038333334	79.0	21.879064321517944
9	175.05882	31.883003	200.0	103.0	175.05882	44.6331	15.403195	56.257435	5.1713324	30000	-2.5431315e-09	328.83807	-0.003418363	-90.95216	0.60105026	0.0033994487	0.015333333	79.0	24.22261667251587
10	165.47058	49.31068	200.0	20.0	165.47058	51.76567	13.316639	60.944977	5.6032553	33000	-2.0345052e-08	336.31705	-0.005452151	-52.77054	0.58951294	0.0034843902	0.024333334	79.0	26.587828159332275
11	200.0	0.0	200.0	200.0	200.0	56.506847	12.238998	64.11891	8.385345	36000	-2.5431315e-09	418.5998	-0.0031799618	-76.67941	0.5752091	0.0058316155	0.035	79.0	28.831450939178467
12	170.88235	31.87823	200.0	102.0	170.88235	49.562675	18.81408	66.696	-0.8292303	39000	1.0172526e-08	316.1908	-0.009086077	-76.40875	0.5819595	0.0067361896	0.054333333	79.0	31.041861534118652
13	186.5625	35.893887	200.0	55.0	186.5625	58.24093	13.730833	67.664055	4.8243675	42000	1.0172526e-08	380.2144	-0.003819369	-59.0683	0.5752266	0.0066697756	0.049333334	79.0	33.54722237586975
14	200.0	0.0	200.0	200.0	200.0	53.377293	14.828956	68.551186	11.562561	45000	-2.2888184e-08	441.44925	-0.0028038356	-101.53693	0.57908595	0.0075116944	0.024	79.0	35.790884494781494
15	196.33333	13.719412	200.0	145.0	196.33333	51.90581	17.075562	70.12016	10.423284	48000	2.9246012e-08	398.28	-0.0050841253	-98.35791	0.57473105	0.0074578314	0.041333333	79.0	38.065489292144775
16	200.0	0.0	200.0	200.0	200.0	57.067062	12.762886	70.64284	7.6602335	51000	-2.5431315e-09	363.49533	-0.0018037414	-65.217224	0.5731485	0.0070784963	0.018666666	79.0	40.39755964279175
17	200.0	0.0	200.0	200.0	200.0	57.487606	13.159879	73.387276	20.74324	54000	-5.086263e-09	334.59818	-0.0031033936	-51.840332	0.56893784	0.001944039	0.024666667	79.0	42.67111682891846
