Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	34.26998	49.676254	326.22507	3.5754924	33.166668	-0.16450416	0.057660278	0.10506928	-0.41666353	3000	8.646647e-08	2103.507	-0.023464983	-437.12305	0.9189386	0.0056032115	0.16733333	79.0	2.9727721214294434
1	40.357872	42.478836	211.83879	2.5270193	38.363636	7.9936953	2.2776012	9.26346	-7.392689	6000	2.2888184e-08	1148.3761	-0.014986319	-182.74878	0.9006731	0.016585782	0.18233334	5.0	5.686182022094727
2	101.43827	77.74927	251.23279	5.363737	63.234043	13.853392	2.6926281	14.643442	-12.997698	9000	6.3578284e-08	3594.3325	-0.02107474	-690.80786	0.89981455	0.00809154	0.132	79.0	8.641726016998291
3	124.9557	72.97905	244.4257	5.05218	74.95	22.181984	4.0597057	23.050257	-17.453772	12000	-2.2888184e-08	3127.8784	-0.026264504	-502.96753	0.899672	0.013807902	0.14733334	79.0	11.316766023635864
4	158.06998	71.77856	275.40674	19.132765	80.666664	29.63334	0.30689064	29.691036	24.012747	15000	-4.5776368e-08	3961.655	-0.008212514	-614.5891	0.90265363	0.015354062	0.154	6.0	13.830172777175903
5	173.20769	68.691925	295.27112	52.07491	90.545456	36.63732	0.15078183	36.65537	32.877117	18000	1.9073486e-08	3414.536	-0.020322058	-461.22998	0.9011862	0.010671052	0.10666667	79.0	16.4737548828125
6	199.61111	75.4882	321.3711	20.785017	96.6129	42.591465	0.011447076	42.594604	42.329445	21000	1.08083086e-07	3893.1106	-0.019845258	-541.96387	0.89573395	0.007774512	0.12	79.0	19.139888763427734
7	215.64673	65.42708	336.01947	52.250023	105.42857	48.826927	0.1290081	48.838017	45.307705	24000	5.086263e-09	3364.7056	-0.018248348	-435.52954	0.8984198	0.006072319	0.104666665	79.0	21.77568817138672
8	238.2028	54.506912	338.77313	98.66439	112.69231	54.39497	0.3962779	54.41627	38.35702	27000	-6.9936114e-08	3550.323	-0.017359085	-442.7578	0.89894	0.008871019	0.102	79.0	24.424901485443115
9	218.33961	42.618603	293.86444	79.58488	101.48276	59.966137	0.0015616309	59.966763	59.95266	30000	2.2888184e-08	2619.3481	-0.019759485	-255.71655	0.87973374	0.012642084	0.08766667	79.0	27.066121339797974
