Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1163.8689	238.7374	-882.25006	-1649.4817	200.0	-0.07367115	0.06474035	0.07380009	-0.19486348	3000	7.756551e-08	139847.23	-0.0042194556	-5695.0156	0.91893846	0.004298846	0.042999998	79.0	2.8093671798706055
1	-1273.8988	310.81366	-859.3505	-1806.0513	200.0	-8.843986	0.97625333	-4.8462906	-9.769036	6000	-4.83195e-08	161370.5	-0.005482933	-5804.2344	0.91144496	0.0029167004	0.043666665	79.0	5.64819860458374
2	-1161.5497	263.383	-773.9061	-1667.08	200.0	-17.114576	0.24315281	-15.981718	-17.37699	9000	3.0517576e-08	128678.42	-0.005304016	-3772.8906	0.8797939	0.0039400808	0.044999998	79.0	8.428483009338379
3	-1049.6937	163.5218	-857.94196	-1466.3593	200.0	-23.112219	0.0725405	-22.806057	-23.228687	12000	-2.7974446e-08	98603.586	-0.003932177	-2864.0234	0.87191373	0.0042081093	0.028666666	79.0	11.12748098373413
4	-1178.6992	334.7797	-758.3752	-1748.5203	200.0	-28.275297	0.06939042	-28.00185	-28.33478	15000	3.8146972e-08	131572.72	-0.0032291692	-3498.5234	0.8741966	0.0050635166	0.031999998	79.0	13.9034104347229
5	-1092.0966	265.18472	-762.6982	-1643.579	200.0	-33.86331	0.030401919	-33.745438	-33.90178	18000	-2.3206075e-08	105375.24	-0.0063716443	-2861.7734	0.8805353	0.0061362213	0.03333333	79.0	16.46617817878723
6	-1236.4988	311.872	-770.83093	-1757.7058	200.0	-38.970154	0.019889154	-38.87494	-38.987827	21000	-1.4495849e-07	135224.48	-0.004122635	-3532.8594	0.8846763	0.0023109156	0.042999998	79.0	18.999287128448486
7	-1109.9744	218.50334	-827.8387	-1514.0874	200.0	-44.53875	0.016442703	-44.465027	-44.55813	24000	1.4623006e-08	101175.516	-0.005099093	-2761.0312	0.8698838	0.007814137	0.048	79.0	21.49044418334961
8	-1200.5801	329.10324	-770.352	-1771.3616	200.0	-49.53373	0.01227213	-49.47704	-49.544815	27000	4.0690104e-08	124771.22	-0.0059018754	-3231.9844	0.850735	0.005104449	0.05	79.0	24.10491633415222
9	-1161.3866	279.68384	-862.0151	-1738.6675	200.0	-54.868343	0.008955471	-54.827213	-54.877354	30000	-2.1616617e-07	109695.74	-0.0056142146	-2934.5703	0.8620844	0.0064138025	0.056333333	79.0	26.643622636795044
10	-1108.5509	198.80899	-786.6137	-1465.7803	200.0	-59.98978	0.0062446413	-59.96032	-59.996956	33000	-3.560384e-08	93110.74	-0.0056373742	-2576.875	0.8292114	0.004505688	0.045666665	79.0	29.107609510421753
11	-960.74664	126.97914	-771.4634	-1247.1976	200.0	-64.80674	0.0070165447	-64.77895	-64.81568	36000	1.2334188e-07	65400.086	-0.0065076407	-1895.1484	0.8404194	0.0047356826	0.055	79.0	31.511274576187134
12	-1103.6815	165.11548	-886.7469	-1340.7507	200.0	-69.00644	0.0030808607	-68.99099	-69.01064	39000	-8.646647e-08	86871.38	-0.00559592	-2431.289	0.84893304	0.004623009	0.044666667	79.0	33.878413438797
13	-1029.4559	180.25044	-797.8618	-1484.9877	200.0	-73.71979	0.0032391022	-73.70459	-73.72402	42000	-1.9836426e-07	74498.914	-0.0048564756	-2137.2422	0.81486505	0.0027477392	0.037	79.0	36.233970642089844
14	-1077.9221	138.51617	-863.9394	-1334.9537	200.0	-78.22007	0.003443061	-78.20807	-78.223946	45000	2.2379557e-07	77277.484	-0.0060346527	-2263.461	0.8056291	0.005799492	0.038333334	79.0	38.84383702278137
15	-1085.598	198.2233	-760.1431	-1456.8795	200.0	-82.85529	0.0021630023	-82.84654	-82.85812	48000	3.267924e-07	77385.69	-0.0040760906	-2166.3984	0.80322295	0.0050269202	0.032333333	79.0	41.24313020706177
16	-959.6627	111.28401	-765.39294	-1223.1317	200.0	-87.43099	0.0026894948	-87.4208	-87.435005	51000	-6.866455e-08	55841.17	-0.00417128	-1699.0781	0.8174601	0.005414951	0.048	79.0	43.72983455657959
17	-1003.0166	146.9609	-772.8038	-1249.0619	200.0	-91.5458	0.001869207	-91.538315	-91.54877	54000	-1.296997e-07	62164.863	-0.007866486	-1881.3125	0.8004857	0.0065664775	0.06666666	79.0	46.103716135025024
18	-950.8815	123.827065	-754.6349	-1175.8257	200.0	-95.868866	0.0017116027	-95.863914	-95.87171	57000	-9.409587e-08	53632.17	-0.0054050433	-1660.5781	0.7603895	0.003303496	0.037666667	79.0	48.48377227783203
19	-982.65533	139.9405	-739.904	-1240.0919	200.0	-99.99735	0.0012525142	-99.99404	-99.99963	60000	-4.0690104e-08	55346.414	-0.0071083056	-1721.0352	0.76146436	0.006912773	0.043666665	79.0	50.84753775596619
20	-972.58325	160.927	-756.04956	-1255.4758	200.0	-104.216896	0.0010692251	-104.21386	-104.21877	63000	7.375081e-08	55119.332	-0.00763657	-1733.6953	0.745716	0.005229609	0.07666667	79.0	53.23911690711975
21	-994.14734	160.37074	-774.7423	-1302.6326	200.0	-108.49196	0.00093246857	-108.48921	-108.49358	66000	-1.3097127e-07	55113.727	-0.008084351	-1765.0586	0.7152783	0.010245941	0.059	79.0	55.606449604034424
22	-922.0739	106.063065	-756.5735	-1107.331	200.0	-112.83706	0.00071632664	-112.83491	-112.83848	69000	2.0980835e-08	42879.7	-0.009733962	-1348.0586	0.720528	0.0031933524	0.07433333	79.0	57.99554967880249
23	-990.06445	196.08911	-631.1038	-1277.7213	200.0	-116.70476	0.00068787177	-116.702995	-116.70592	72000	1.8119811e-08	51757.86	-0.005837179	-1572.8086	0.69512427	0.007272714	0.06633333	79.0	60.36073446273804
24	-915.04877	154.82428	-615.61285	-1246.448	200.0	-120.867355	0.0006894546	-120.865	-120.86867	75000	1.7102559e-07	42148.12	-0.0070326705	-1382.9648	0.702222	0.005510619	0.051333334	79.0	62.738884925842285
25	-958.97784	127.35911	-750.44775	-1195.3345	200.0	-124.84201	0.00062019017	-124.84026	-124.84301	78000	-6.866455e-08	43728.367	-0.002022529	-1463.8398	0.6756005	0.015014867	0.15266666	8.0	64.97445607185364
26	-948.6113	97.98421	-752.15924	-1110.3766	200.0	-128.94423	0.00060514023	-128.9423	-128.94525	81000	1.4432271e-07	40622.516	-0.0073129204	-1428.5859	0.6737779	0.009397393	0.054333333	79.0	67.36134314537048
27	-936.4069	98.17577	-770.59735	-1127.8024	200.0	-133.0429	0.0005006036	-133.04147	-133.04385	84000	7.629394e-09	40358.19	-0.0057484536	-1452.3359	0.68175644	0.005988897	0.04633333	79.0	69.70916819572449
28	-917.5038	91.57852	-727.22485	-1088.3638	200.0	-137.20448	0.0005760806	-137.20273	-137.20538	87000	-1.1444092e-08	37977.332	-0.006552238	-1417.8203	0.6749139	0.007011464	0.051666666	79.0	72.09085369110107
29	-940.119	64.69002	-863.9494	-1072.4945	200.0	-141.35516	0.0003938843	-141.35396	-141.3559	90000	-9.918213e-08	39730.145	-0.00521116	-1537.0234	0.68242216	0.004834399	0.035	79.0	74.45273017883301
30	-929.20026	142.5886	-632.9387	-1176.2416	200.0	-145.69513	0.0004021715	-145.69391	-145.69568	93000	5.976359e-08	36876.742	-0.0050198045	-1377.5586	0.6884739	0.004951064	0.044	79.0	76.83866715431213
31	-960.04456	137.22931	-767.5553	-1263.5265	200.0	-149.85793	0.00042724138	-149.85658	-149.85843	96000	1.1062622e-07	37854.348	-0.008634931	-1409.1211	0.6590383	0.009153742	0.06266667	79.0	79.20425820350647
32	-907.47797	90.97256	-767.3107	-1094.171	200.0	-154.08284	0.00033508523	-154.08157	-154.08327	99000	2.0345052e-08	32093.018	-0.0061446535	-1279.082	0.68237346	0.006921993	0.059	79.0	81.5751519203186
33	-895.4095	109.532326	-751.0189	-1101.0985	200.0	-158.1556	0.00047490842	-158.15453	-158.15616	102000	-9.918213e-08	30114.154	-0.007718905	-1136.5195	0.65324366	0.008820156	0.054666664	79.0	83.93493247032166
34	-902.78754	156.06902	-732.2982	-1254.7472	200.0	-162.03206	0.00029603217	-162.03099	-162.0324	105000	9.7910565e-08	29322.773	-0.0067202896	-1092.5664	0.6731458	0.0073193638	0.049	79.0	86.29819822311401
35	-848.156	92.13895	-748.1621	-1080.3455	200.0	-165.86113	0.00027348258	-165.86017	-165.86145	108000	6.2942505e-08	23595.828	-0.007255941	-947.75195	0.6915099	0.006398154	0.054333333	79.0	88.6842520236969
36	-875.9617	122.70535	-634.4194	-1068.2737	200.0	-169.477	0.00033201574	-169.47617	-169.4774	111000	3.8782755e-08	24003.104	-0.0054245275	-945.03516	0.6882541	0.0038832808	0.032333333	79.0	91.04557013511658
37	-814.06647	90.2444	-655.27277	-985.312	200.0	-173.1119	0.0002565471	-173.11124	-173.1122	114000	1.2715658e-08	19520.19	-0.0038370108	-801.7754	0.68935627	0.0044245846	0.033999998	79.0	93.42802047729492
38	-900.63214	179.8142	-638.24335	-1187.1344	200.0	-176.51633	0.00028395714	-176.51552	-176.51666	117000	4.0690104e-08	26283.482	-0.0049073435	-941.0371	0.6805531	0.0051582917	0.059666667	79.0	95.77905559539795
39	-833.76117	94.44067	-652.1494	-1040.7013	200.0	-180.21016	0.00021758788	-180.20958	-180.21043	120000	-1.780192e-08	18847.334	-0.0058110836	-808.0254	0.64849293	0.004209018	0.026666667	79.0	98.17079520225525
