Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Alpha	Time
1	22.44382	11.743977	73.0	9.0	9.3	0.64031243	10.0	8.0	22.44382	9.3	3999	1.1175879	0.41387156	2.6651638	-0.30352768	1.1050873	0.41931674	2.6945374	-0.18544424	-1.2203026	0.2887529	0.19483393	0.46571874618530273
2	22.15	12.341202	90.0	9.0	9.3	0.64031243	10.0	8.0	22.15	9.3	7999	1.5669924	0.10619099	1.9247266	1.2571485	1.567126	0.10851911	2.0679228	1.2439513	-1.6932262	0.03311029	0.1846962	1.1020381450653076
3	21.015789	11.095982	81.0	8.0	9.3	0.781025	11.0	8.0	21.015789	9.3	11999	1.9019469	0.131088	2.3643916	1.2476876	1.9011692	0.1319228	2.392866	1.2163064	-2.0164905	0.05766341	0.17352135	2.7456541061401367
4	20.267677	9.752185	59.0	8.0	9.6	0.48989794	10.0	9.0	20.267677	9.6	15999	2.2289436	0.18907297	2.9961243	1.0881505	2.2291548	0.18934223	2.8452897	1.0067846	-2.3345926	0.08917684	0.16293028	5.028006076812744
5	22.655367	11.9797325	77.0	9.0	153.3	25.310274	200.0	122.0	22.655367	153.3	19999	2.5589993	0.24972764	3.2037752	1.0958757	2.5586238	0.24889672	3.1843333	1.1048437	-2.6551356	0.11820265	0.15196761	7.9310996532440186
6	25.735483	15.30721	89.0	9.0	200.0	0.0	200.0	200.0	25.735483	200.0	23999	2.8887153	0.30929053	3.709206	0.81893027	2.8878477	0.31086355	3.6642382	0.83472997	-2.9810076	0.15491512	0.1414949	11.019853115081787
7	39.47	33.505062	200.0	9.0	198.1	4.2999997	200.0	186.0	39.47	198.1	27999	3.2493207	0.35146716	4.029285	0.9690038	3.2497246	0.35012603	3.9948146	0.93457425	-3.3215363	0.15684658	0.12079439	14.195767879486084
8	46.287357	26.644062	138.0	10.0	177.4	28.284979	200.0	124.0	46.287357	177.4	31999	3.6228414	0.32871583	4.4424567	1.2783527	3.622805	0.33327696	4.4596066	1.2643182	-3.6743984	0.20144033	0.101447724	17.26277446746826
9	71.781815	46.427532	200.0	11.0	184.5	21.416115	200.0	146.0	71.781815	184.5	35999	4.0009284	0.3222642	4.719878	1.1786381	4.001502	0.32594305	4.7661705	1.27112	-4.042978	0.20062844	0.08613916	20.373276472091675
10	108.91892	43.28746	200.0	15.0	198.2	5.4000006	200.0	182.0	108.91892	198.2	39999	4.3960996	0.2723102	5.1586432	1.9291176	4.395585	0.2739728	5.0785036	2.0247838	-4.429878	0.1711649	0.07345363	23.537404537200928
11	134.2	65.661964	200.0	27.0	199.1	2.7	200.0	191.0	134.2	199.1	43999	4.7622156	0.27881968	5.611747	2.3842046	4.761917	0.27542415	5.6037602	2.3538327	-4.7806497	0.1724526	0.06338985	26.70544743537903
12	178.0	38.25156	200.0	63.0	200.0	0.0	200.0	200.0	178.0	200.0	47999	5.1342373	0.23183192	5.6512084	3.4353187	5.13465	0.23295532	5.7258086	3.4592078	-5.1528826	0.109855175	0.054672945	29.883901357650757
13	198.15	5.0027494	200.0	179.0	200.0	0.0	200.0	200.0	198.15	200.0	51999	5.5093937	0.20085743	6.040392	3.9707332	5.509355	0.20379585	6.0513945	3.8939397	-5.525435	0.06279538	0.048218876	33.093671560287476
14	199.3	3.051229	200.0	186.0	200.0	0.0	200.0	200.0	199.3	200.0	55999	5.88778	0.20074056	6.441257	4.489327	5.8877177	0.20136878	6.431195	4.4882345	-5.9044747	0.0449299	0.042470627	36.32296562194824
15	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	59999	6.2691092	0.16322684	6.69285	4.8459983	6.269102	0.16462654	6.7001677	4.6534157	-6.282509	0.016289443	0.037506893	39.56359148025513
16	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	63999	6.633015	0.1374302	7.051692	5.750721	6.632902	0.13746816	7.00883	5.6919775	-6.6471877	0.0014591372	0.03375233	42.822314500808716
17	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	67999	6.988874	0.15196	7.3478045	5.4319606	6.988834	0.15229154	7.340546	5.3917146	-7.0007234	0.0012097642	0.030205458	46.079997539520264
18	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	71999	7.3432198	0.145626	7.664941	5.8821726	7.343149	0.14566515	7.661385	6.0492973	-7.352919	0.0008347203	0.027148228	49.318838596343994
19	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	75999	7.7143474	0.13941315	7.9972696	6.5795894	7.7144327	0.13971372	7.9861946	6.5871186	-7.72458	0.00056125596	0.024458487	52.548110008239746
20	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	79999	8.071029	0.1363157	8.330209	7.067675	8.070939	0.13652758	8.345909	7.0469985	-8.080236	0.0005568297	0.022102838	55.79718279838562
21	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	83999	8.422641	0.15037507	8.695265	7.3916526	8.422715	0.15065439	8.691301	7.3612885	-8.431144	0.0004990869	0.019843629	59.04607558250427
22	200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	87999	8.797805	0.12630612	9.031217	7.9561105	8.797751	0.12627941	9.037455	7.905279	-8.805699	0.00040182704	0.01781975	62.27619791030884
