Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	16.99234	14.573796	133.36563	5.779708	44.439793	1.9491088	48.018402	41.391953	21.11111	25.7	3999	9.205658	6.4687257	41.061974	-5.8938417	9.205869	6.465637	42.345478	-5.369957	-10.311192	0.89712363	99.83664035797119
2	18.841484	18.007437	151.44057	4.947699	153.79504	1.1925051	155.1176	151.8452	22.494383	72.6	7999	38.2873	19.508223	159.02388	-26.510902	38.28709	19.499895	160.95705	-35.5332	-42.12054	13.802529	233.11293768882751
3	50.65189	69.80305	300.96756	5.9396725	195.11386	4.221439	200.9276	189.3562	34.5	87.1	11999	101.95311	41.15978	249.20724	-58.50224	101.95395	41.11203	231.4958	-56.33423	-110.60772	85.33765	373.10517144203186
4	264.10666	77.03462	444.4509	86.25121	378.66522	9.281669	386.2662	352.23438	126.78571	199.9	15999	158.34988	46.84816	301.93747	-78.07215	158.3537	46.754604	313.28467	-142.82544	-166.39784	146.63834	519.9943401813507
5	334.11786	190.66	1010.60333	25.740103	580.57794	11.344024	587.5402	548.0842	173.04	237.8	19999	192.48325	56.075653	301.0708	-90.63462	192.4866	55.98271	304.72476	-98.37694	-200.36954	157.27368	668.5374627113342
6	280.54318	72.57237	489.9791	194.90878	206.85913	1.9489866	209.3015	202.38159	116.48572	90.0	23999	211.71	63.4542	315.81204	-139.96313	211.72015	63.34228	319.57028	-241.3751	-218.69044	166.88872	812.8187029361725
7	348.56116	108.58079	640.35175	210.50775	286.35477	24.703167	324.3374	242.9196	139.6207	151.8	27999	220.64143	71.46624	381.73096	-93.18649	220.6508	71.395355	371.94528	-122.10849	-226.63843	135.65175	958.7314913272858
8	631.4618	226.76547	981.1797	87.72741	624.37146	9.111076	645.00543	611.1235	239.3125	200.4	31999	220.90088	77.66009	404.64862	-94.96414	220.90836	77.62282	420.19922	-146.84152	-226.00952	130.52322	1104.656718969345
9	528.60486	156.46352	751.6319	19.121258	466.1364	2.996719	468.83798	460.67706	188.61905	170.4	35999	219.60995	81.6083	400.75662	-106.94534	219.61723	81.58032	398.29208	-139.66862	-224.35808	124.20333	1251.267879486084
10	393.8214	207.68126	684.9475	18.133656	631.40625	3.8012393	636.4536	622.56104	142.89655	202.1	39999	216.8272	83.88849	382.12234	-118.28575	216.83112	83.86673	383.15744	-160.06084	-221.10733	113.956856	1399.3153500556946
11	668.8082	122.70694	955.3021	336.5426	378.587	2.0953329	382.54993	375.70947	222.55556	197.3	43999	206.10376	78.25274	362.64117	-113.1712	206.1054	78.24261	358.4855	-115.77252	-209.49487	95.1283	1546.9700689315796
12	790.11816	217.78415	1068.4917	335.42535	215.02592	1.0301958	216.74152	213.52072	270.35715	114.2	47999	194.70088	70.19651	327.35165	-127.99987	194.70216	70.18673	328.43765	-121.160194	-197.45	78.97391	1691.774671792984
13	927.39	386.63605	1337.8889	216.07445	1294.545	195.87924	1489.2081	942.8185	319.6154	418.8	51999	187.79195	64.40037	312.48416	-112.55354	187.79047	64.398796	313.43347	-119.914444	-190.19724	64.183716	1844.9577114582062
14	1206.0111	571.166	2003.4332	267.60428	2620.7285	68.59809	2800.8403	2560.9785	399.1111	1000.0	55999	183.89706	60.632633	311.30292	-94.59354	183.89632	60.634644	309.7837	-126.92883	-186.00862	59.55863	2012.9680700302124
15	2652.9583	649.1823	3010.768	1356.0859	2967.6057	4.5659156	2976.024	2960.687	885.8	1000.0	59999	186.19246	58.803185	305.87167	-87.89729	186.1924	58.8123	304.40164	-79.35068	-188.20383	56.54267	2182.932380914688
16	1880.2096	1000.42914	2996.035	299.5437	1634.2511	34.085754	1673.5463	1563.2915	628.4	479.0	63999	190.5137	58.275448	302.97873	-67.322	190.51385	58.273895	303.33203	-189.26593	-192.39523	51.123577	2337.961858034134
17	1880.9946	682.88116	3005.9426	863.4992	1841.9783	267.34055	2402.16	1522.3739	567.5	524.6	67999	195.06213	58.726837	304.49506	-85.49926	195.06181	58.730587	304.31354	-84.71403	-196.7828	48.961838	2494.555758714676
18	1365.9717	220.01073	1619.8257	959.3917	1349.2008	1231.2073	2862.5327	341.6006	395.63635	491.6	71999	198.4836	59.917667	301.4039	-111.582855	198.48286	59.916565	306.33777	-90.51328	-200.07494	46.400055	2650.871398448944
19	1482.0118	815.9286	3024.0684	13.397848	2137.2021	691.70825	3519.1287	1541.7412	436.55554	614.8	75999	203.23482	61.837826	308.41116	-128.19456	203.23488	61.837227	308.96057	-109.54978	-204.80705	48.317337	2808.33288025856
20	1583.3529	343.95303	2130.1006	940.1965	3365.95	14.897953	3384.2725	3333.4075	460.5	1000.0	79999	208.23584	63.43883	313.42188	-78.98035	208.23622	63.4424	311.98312	-139.13336	-209.79214	52.54965	2978.209798336029
21	2093.7664	1186.51	3336.377	246.6483	3085.7085	429.9746	3273.4216	1797.3915	636.5	953.3	83999	214.60484	64.518074	314.081	-111.07505	214.60484	64.51927	310.57913	-108.05233	-216.11353	55.23689	3146.4473588466644
22	2983.7358	539.12836	3319.974	1907.9479	3073.7224	427.4795	3436.0525	2509.027	915.4	887.6	87999	219.46886	65.98136	319.9063	-244.17067	219.47005	65.973694	315.84674	-139.61977	-221.02321	57.886925	3311.4398667812347
23	2115.0293	1171.764	3337.0034	572.04645	2863.0776	671.8944	3113.044	847.9559	647.6667	928.9	91999	224.98718	66.31479	317.87177	-84.68527	224.9875	66.316734	317.6971	-114.954605	-226.37764	54.932507	3479.527190685272
24	3156.0698	282.932	3364.7832	2669.2114	1436.0125	419.47714	2561.763	1083.3918	933.75	425.8	95999	229.19774	66.5657	321.021	-101.29923	229.19806	66.55833	320.39813	-98.93912	-230.53494	59.365604	3633.671590089798
25	1534.0198	668.496	2936.5732	737.60504	812.0415	10.673367	834.2449	794.5518	442.1	228.1	99999	232.48608	66.9577	321.31277	-113.888306	232.48701	66.95052	324.73578	-132.50172	-233.76183	54.478718	3781.525936126709
26	1407.4297	1005.1672	3394.382	421.45813	3446.0637	3.2777386	3453.562	3440.7478	405.33334	1000.0	103999	235.00836	67.60347	320.60477	-124.97362	235.00856	67.59417	320.4002	-133.44275	-236.2445	52.262115	3950.4451961517334
27	2906.5696	851.98145	3393.0308	1206.2339	3310.7507	5.487041	3321.0107	3302.8857	850.6	1000.0	107999	238.2344	68.214424	319.52832	-175.32175	238.2349	68.19602	321.21344	-108.34722	-239.38846	54.323116	4119.904002904892
28	2316.0078	753.88574	3337.7095	1602.3394	3020.2974	143.76428	3146.8066	2629.1802	679.1667	973.3	111999	241.3177	68.734146	323.13422	-142.62097	241.31834	68.720665	324.58807	-121.47825	-242.4418	49.91659	4288.23691534996
29	2302.1929	982.331	3358.3813	742.93085	3373.9355	4.5822954	3382.5183	3365.8071	696.6	1000.0	115999	244.58463	69.24552	325.49573	-102.780365	244.58504	69.23159	328.14914	-115.09372	-245.68517	52.058678	4458.14568734169
30	1917.2736	1286.6436	3401.9219	17.848888	3397.9844	2.3178902	3402.371	3394.9514	568.875	1000.0	119999	247.431	69.34992	329.7861	-175.07202	247.43074	69.34637	328.6711	-195.62914	-248.52513	57.664444	4626.527127504349
31	1556.4974	498.58118	2717.0027	978.61774	829.0661	10.370605	843.4005	814.46277	447.0	255.8	123999	250.20752	69.55417	330.02997	-59.191864	250.20766	69.55055	330.48727	-113.58631	-251.27727	53.55274	4775.920896291733
