Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	21.431717	29.862114	246.37276	5.702835	66.05754	0.5380936	66.88412	65.25546	22.873564	36.0	3999	4.7417026	3.5887027	24.602325	-5.516145	4.74142	3.590513	24.779919	-6.7187114	-5.5465508	0.33930317	11.192744731903076
2	18.520857	14.7492	95.91779	4.3827415	35.00724	0.71265864	36.232964	34.3975	22.327778	20.3	7999	20.651894	10.380568	74.67491	-17.412287	20.651503	10.382067	77.80159	-21.144138	-24.262632	5.019506	25.481200218200684
3	48.078682	61.25276	191.0298	5.6929636	181.43253	12.750851	192.38298	161.63354	34.778763	86.5	11999	57.36632	25.143738	172.65282	-40.262207	57.367893	25.134192	169.5272	-43.539062	-66.61216	35.42275	40.75245022773743
4	186.68921	25.815636	219.8927	59.20541	206.85893	1.8081574	210.67853	204.05354	91.954544	96.5	15999	108.05466	31.054281	166.66908	-81.46014	108.06022	31.013227	163.33652	-72.4926	-117.983154	82.79162	56.50342321395874
5	164.98459	51.67072	219.81435	80.88541	179.09613	2.067884	182.84605	175.86111	79.24	88.6	19999	116.39204	32.34364	167.22873	-62.62561	116.40425	32.277584	172.9282	-67.02215	-121.74178	69.88081	71.16771841049194
6	155.12721	35.0045	207.61075	96.180435	199.29012	2.5390923	202.30118	194.71066	80.7	94.5	23999	114.45035	35.382366	166.5323	-80.196106	114.45261	35.370296	167.58151	-94.21436	-119.60505	61.094288	85.88256597518921
7	190.07878	9.166523	211.73883	171.281	200.73482	6.23661	212.96008	192.67557	94.59524	109.9	27999	115.42841	40.570488	164.12202	-67.42765	115.42979	40.56362	164.92232	-82.87629	-120.261314	46.086792	100.5945029258728
8	180.58235	51.77971	354.41327	50.404667	245.56656	45.789215	321.6561	197.29965	90.954544	106.2	31999	114.83588	41.71967	197.61444	-312.6875	114.83648	41.71068	195.24727	-341.84662	-119.82575	51.260727	115.45448112487793
9	228.72797	49.832928	360.7595	139.05928	294.15604	1.5424707	297.00452	291.5801	109.888885	116.9	35999	113.73357	40.921764	195.25038	-94.628914	113.73465	40.914272	194.61179	-91.087036	-118.862564	46.52104	130.2081482410431
10	310.095	75.08107	504.41983	146.08492	301.7348	6.1293554	311.50006	291.08804	128.03226	136.3	39999	111.90523	39.51236	236.99918	-95.48188	111.91124	39.49013	230.6878	-79.87443	-117.34458	58.66425	145.04707670211792
11	244.1581	73.703255	482.14407	137.56519	242.08987	45.06698	363.36188	203.17474	113.27778	116.0	43999	114.71712	39.936356	237.23834	-78.47939	114.71905	39.926624	239.2421	-80.55483	-119.787	51.757915	159.80189538002014
12	244.92676	170.99133	792.2959	35.072727	128.35391	4.768014	134.50879	117.88048	120.90909	95.6	47999	114.89915	38.036385	232.90102	-152.04253	114.90307	38.015614	229.42995	-99.08615	-119.36589	56.716843	174.49907422065735
13	241.25668	137.53336	753.78186	96.72366	143.16562	13.553828	159.9694	120.9162	129.48387	100.4	51999	115.83425	35.696667	206.60612	-76.810104	115.83592	35.679073	207.08739	-70.17406	-120.17055	58.44186	189.20288562774658
14	154.0552	184.22458	804.68243	19.488726	97.15517	85.042366	352.05072	64.44979	110.583336	82.4	55999	117.78652	35.887848	203.16966	-84.54837	117.78477	35.884792	194.88144	-95.57728	-122.31918	58.767033	203.84048438072205
15	387.19492	171.02806	635.154	66.62275	465.927	143.85158	760.1541	334.25583	162.48	184.9	59999	120.8132	38.573936	200.67902	-91.3055	120.80958	38.582237	207.2441	-92.97729	-124.95795	58.724815	219.0079836845398
16	489.46066	204.00754	1028.8517	246.40553	661.5314	185.61183	865.6521	366.2914	180.18182	224.1	63999	122.69588	40.38159	204.77902	-64.15823	122.69511	40.385063	202.27106	-59.076736	-126.81318	57.168793	234.40547704696655
17	624.7117	165.0611	812.6261	280.88544	915.7918	48.397198	976.4935	840.09906	211.1579	287.4	67999	127.18675	41.566227	206.60886	-85.711365	127.18874	41.56846	207.19994	-67.134735	-131.7032	56.55861	250.053777217865
18	627.4589	168.44489	935.26917	341.312	743.21594	20.826832	798.6711	724.89624	215.77777	231.1	71999	133.52876	44.558235	209.24481	-82.79825	133.52867	44.55883	212.77847	-60.22941	-137.70573	55.32949	265.7700023651123
19	480.30487	194.21597	945.60986	290.49548	402.31	122.49398	581.02856	251.18625	164.84	136.3	75999	137.53374	46.421844	216.83917	-58.13918	137.5334	46.424595	219.83241	-89.279625	-141.59322	53.868767	281.1997985839844
20	394.09357	163.11238	805.7018	162.29538	1049.3997	225.20007	1549.974	589.8165	147.0	339.8	79999	141.18823	47.97528	223.40399	-133.99503	141.18716	47.979576	229.36908	-102.51517	-145.13281	53.642155	297.4073910713196
21	687.3796	271.51804	1412.1605	301.61542	804.9574	118.54383	997.6338	670.5203	229.88889	257.9	83999	143.61642	48.131824	226.44763	-59.388256	143.61711	48.12766	236.49785	-80.73269	-147.45665	54.017944	313.02465081214905
22	669.9117	84.41662	803.5951	465.76776	631.0719	55.008186	754.3026	562.17926	216.61111	213.8	87999	145.1632	48.91805	233.17677	-98.20967	145.16315	48.918034	242.90015	-79.03256	-148.68202	50.200214	328.2542054653168
