Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	Losspi	Lossv	KL	Time	ImproveCondition	BackTrack_Iters
0	21.688406	11.754617	70.0	8.0	21.688406	-0.103165	0.051801603	0.0668402	-0.29514772	3000	4.3233236e-08	262.62686	0.008715672	2.492136240005493	0.99805623	0.0
1	27.915888	16.489658	97.0	10.0	27.915888	7.951569	0.29044038	8.521131	5.7095613	6000	4.5776368e-08	219.93182	0.008488913	4.937868595123291	1.0135844	0.0
2	32.516483	17.913935	87.0	10.0	32.516483	13.753051	0.7746249	14.243868	0.3673726	9000	3.814697e-09	185.71954	0.007870877	7.281075954437256	1.031919	0.0
3	43.92647	30.098034	177.0	15.0	43.92647	17.00654	1.118473	17.556654	4.119975	12000	2.0345052e-08	390.7587	0.0068170503	9.58590030670166	1.032825	0.0
4	69.023254	38.651985	149.0	12.0	69.023254	20.279806	8.461765	23.221573	-22.77834	15000	-3.0517576e-08	546.74664	0.007081048	11.885835886001587	1.017534	0.0
5	134.36363	50.275192	200.0	32.0	134.36363	28.82854	3.222205	30.268286	-0.15498124	18000	-3.560384e-08	878.49963	0.0070930626	14.194088697433472	0.96711636	0.0
6	183.875	30.706015	200.0	93.0	183.875	35.905502	8.411414	39.96855	-4.8073335	21000	-5.2134194e-08	801.8119	0.007117976	16.49941372871399	0.8343896	0.0
7	184.75	32.07121	200.0	108.0	184.75	45.975124	5.8853083	47.950035	10.852025	24000	2.7974446e-08	582.1897	0.0074959756	18.815228700637817	0.97229546	0.0
8	169.41176	37.091396	200.0	95.0	169.41176	47.56167	9.677481	52.69479	7.49422	27000	-2.670288e-08	466.20963	0.007741693	21.322502613067627	0.911231	0.0
9	190.53334	24.86997	200.0	102.0	190.53334	49.383385	10.373538	56.200554	11.755911	30000	-2.670288e-08	428.9479	0.008685432	23.624353647232056	0.9536803	0.0
10	187.26666	23.83965	200.0	136.0	187.26666	49.9755	12.18206	59.748466	15.464356	33000	-1.5258788e-08	366.74884	0.006851948	26.125093460083008	0.9459935	0.0
11	193.13333	13.1801195	200.0	162.0	193.13333	54.788734	10.6423235	62.594994	9.774083	36000	-8.90096e-09	319.61584	0.008078304	28.462545156478882	0.9301565	0.0
12	196.4	10.8799515	200.0	157.0	196.4	56.67601	16.173912	65.30386	5.4311395	39000	-1.1444092e-08	399.12204	0.006619528	30.984211206436157	0.8799307	0.0
13	200.0	0.0	200.0	200.0	200.0	53.699074	15.803842	65.77184	19.09529	42000	0.0	378.48984	0.007187396	33.27862000465393	0.97293425	0.0
14	200.0	0.0	200.0	200.0	200.0	54.266197	13.376726	68.05043	20.406149	45000	7.629394e-09	296.7687	0.004855373	35.55720496177673	0.979795	0.0
15	199.73334	0.99777526	200.0	196.0	199.73334	48.85851	17.670736	70.646965	15.721036	48000	1.5258788e-08	189.68008	0.007993557	37.84099340438843	0.9301994	0.0
16	200.0	0.0	200.0	200.0	200.0	58.05476	19.086966	73.16385	15.642819	51000	2.5431315e-09	257.51053	0.006993024	40.12601947784424	0.8680983	0.0
17	200.0	0.0	200.0	200.0	200.0	59.01504	15.747942	73.93318	15.804552	54000	0.0	248.32416	0.008843257	42.39985418319702	0.96576923	0.0
18	200.0	0.0	200.0	200.0	200.0	59.389595	13.982475	74.8046	21.272997	57000	5.086263e-09	241.14091	0.009717288	44.680477142333984	0.99682647	0.0
19	198.46666	5.737208	200.0	177.0	198.46666	60.192802	13.743576	76.17539	15.540409	60000	1.2715658e-08	227.49654	0.0076326025	47.04750967025757	0.87470645	0.0
20	194.53334	20.454393	200.0	118.0	194.53334	60.748158	14.486937	77.49357	15.532206	63000	-1.780192e-08	275.36688	0.0074856826	49.374536752700806	0.9147692	0.0
21	200.0	0.0	200.0	200.0	200.0	65.73422	14.99146	77.71298	14.923763	66000	-3.814697e-09	393.50238	0.007456458	51.6641640663147	0.9110186	0.0
22	200.0	0.0	200.0	200.0	200.0	63.022385	9.822324	76.570435	31.41475	69000	8.265177e-09	503.80392	0.008963209	53.96430015563965	1.0867168	0.0
23	200.0	0.0	200.0	200.0	200.0	64.47227	7.3156614	72.36135	34.941906	72000	7.629394e-09	534.1618	0.0096011525	56.25109004974365	1.1071883	0.0
24	200.0	0.0	200.0	200.0	200.0	55.591778	17.703129	71.795944	10.74094	75000	-5.086263e-09	559.5734	0.009892727	58.47220420837402	1.056526	0.0
25	200.0	0.0	200.0	200.0	200.0	58.629948	8.222754	69.93769	28.804983	78000	-2.5431315e-09	489.63107	0.007177812	60.64660978317261	0.9759108	0.0
26	200.0	0.0	200.0	200.0	200.0	50.115437	16.591028	69.96972	6.2768393	81000	3.3060708e-08	426.5877	0.008791534	62.817394971847534	1.0510134	0.0
27	200.0	0.0	200.0	200.0	200.0	60.95566	12.722594	74.123604	16.136072	84000	-2.5431315e-09	441.93823	0.006903842	64.99173021316528	0.92977524	0.0
28	200.0	0.0	200.0	200.0	200.0	62.780006	9.163506	71.3179	22.62651	87000	-1.1444092e-08	453.63345	0.009124236	67.17506790161133	1.058226	0.0
29	200.0	0.0	200.0	200.0	200.0	60.851063	10.70004	74.312225	20.911945	90000	2.5431315e-09	582.9453	0.005500263	69.37769603729248	0.98650014	0.0
30	200.0	0.0	200.0	200.0	200.0	57.25572	7.3445926	67.59134	30.305416	93000	-4.45048e-09	521.4264	0.002398103	71.5595326423645	1.0566969	1.0
31	200.0	0.0	200.0	200.0	200.0	59.70707	7.4151926	68.719246	17.921658	96000	-1.2079875e-08	538.3966	0.0015839005	73.72969937324524	0.93740183	0.0
32	200.0	0.0	200.0	200.0	200.0	59.530804	8.389941	70.36052	32.007908	99000	-7.629394e-09	495.16208	0.0020521702	75.89196968078613	1.0408268	0.0
