Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	Losspi	Lossv	KL	Time	ImproveCondition	BackTrack_Iters
0	35.3477	33.301624	181.11476	10.770001	36.144577	-0.016684784	0.10594305	0.22351281	-0.43179095	3000	1.2715658e-08	1047.1716	0.008647523	2.7284951210021973	1.0264249	0.0
1	52.63075	53.523705	216.56969	8.640744	48.129032	8.818514	0.9918772	9.590467	-2.5280054	6000	1.0172526e-08	1677.6555	0.008749354	5.35343861579895	0.99559104	0.0
2	101.62444	62.281975	278.33853	12.182693	70.54762	16.566608	0.3651822	16.709377	9.751897	9000	2.5431315e-09	2426.0344	0.007854883	8.099846839904785	0.9869583	0.0
3	134.15247	69.029915	253.55675	12.750095	87.52941	24.164698	0.30429673	24.230705	18.05928	12000	-3.814697e-09	2771.7397	0.0085270535	10.739371538162231	0.98423433	0.0
4	167.90848	78.76149	331.10703	28.501041	103.344826	31.094553	0.31244084	31.131565	20.71217	15000	-1.5258788e-08	3185.8687	0.008756824	13.413898706436157	0.991428	0.0
5	197.83885	62.472603	309.0596	82.406456	115.34615	38.048428	0.0116590075	38.051865	37.751728	18000	5.086263e-09	3097.3694	0.0073724175	15.951975584030151	0.99598175	0.0
6	227.84094	77.0587	350.46417	65.34206	139.14285	44.300682	0.0051366035	44.302353	44.153423	21000	-9.6639e-08	2978.153	0.0064934394	18.48990488052368	0.9889202	0.0
7	235.92935	52.66775	315.65894	123.998024	133.86363	50.07743	0.0034015046	50.078728	50.030025	24000	-5.086263e-08	2787.7559	0.0073983953	21.145893573760986	0.9554179	0.0
8	252.57083	37.30598	325.14096	171.62033	144.35	55.402176	0.0031383086	55.40328	55.334816	27000	4.5776368e-08	2567.6663	0.00763146	23.555681467056274	1.0728211	0.0
9	234.15973	53.39017	313.5032	111.5168	131.22728	60.30819	0.002741312	60.30899	60.25367	30000	-4.45048e-08	2212.054	0.0060078558	25.99588656425476	0.9643429	0.0
10	245.20464	54.022446	317.52444	56.40842	133.27272	64.457146	0.0020341852	64.45783	64.424126	33000	0.0	2251.5974	0.0070764236	28.523309469223022	0.9364716	0.0
11	249.6582	45.823006	311.6186	98.73838	134.18182	68.48639	0.0020065028	68.48698	68.45245	36000	-2.0345052e-08	2117.061	0.008505999	30.936171293258667	0.9812903	0.0
12	247.36504	49.381374	310.04453	83.59837	128.43478	72.158356	0.0018926386	72.158966	72.13568	39000	-5.086263e-09	2083.0796	0.008409084	33.33833122253418	1.0099452	0.0
13	254.05972	39.60645	314.70007	131.29858	133.45454	75.58208	0.0021745402	75.58265	75.53195	42000	3.0517576e-08	1889.8273	0.007921987	35.73931860923767	0.9163127	0.0
14	259.75452	41.63279	339.6661	135.07324	135.31818	78.66547	0.0019390587	78.66601	78.628944	45000	-3.0517576e-08	1845.0242	0.009117489	38.1414999961853	1.1125704	0.0
15	261.16766	26.30762	321.87595	216.03601	139.7619	81.59275	0.006765897	81.59343	81.25637	48000	-2.0345052e-08	1620.1959	0.0071623498	40.54116702079773	0.94257724	0.0
16	262.6217	41.021088	314.095	104.41877	135.18182	83.93628	0.002116685	83.93676	83.870346	51000	-1.0172526e-08	1748.635	0.0069381995	42.94306468963623	0.8815103	0.0
17	265.46472	23.231201	324.9762	218.07529	134.81818	86.380585	0.0023113678	86.381035	86.315895	54000	5.086263e-09	1663.4612	0.008296643	45.34164261817932	0.8641248	0.0
18	265.40817	14.844289	294.2511	233.38206	131.63637	88.62663	0.0052244505	88.62738	88.46409	57000	1.0172526e-08	1744.786	0.0068841767	47.945918798446655	0.9569967	0.0
19	272.1677	21.352394	302.89444	217.30626	133.09091	78.666176	23.525536	91.61405	-15.187952	60000	-3.560384e-08	1164.3376	0.008528558	50.48924922943115	1.0202479	0.0
20	272.87903	21.383951	305.5419	236.56532	135.0	84.1839	21.904572	96.382164	3.2458372	63000	-7.375081e-08	845.67084	0.008177586	53.0203959941864	0.9748237	0.0
21	269.13794	44.250965	320.2759	111.427444	134.31818	84.79805	26.490074	100.41749	-6.254977	66000	-2.0345052e-08	773.89813	0.008584304	55.866106033325195	0.92274535	0.0
22	277.65356	24.113573	319.9262	214.85788	136.61905	87.009026	27.38636	103.764656	-2.9056869	69000	2.5431315e-09	686.9378	0.008659615	58.38119029998779	0.9671433	0.0
23	284.7259	17.294373	316.1888	262.29382	135.13637	88.43116	28.96074	107.25371	5.014454	72000	2.0345052e-08	591.63226	0.007876397	60.95813226699829	0.95479393	0.0
24	294.76114	14.274648	319.82376	253.62015	137.95238	91.98488	30.345858	111.02424	-1.9117849	75000	1.2715658e-08	580.82135	0.0076397117	63.643436670303345	0.9556751	0.0
25	290.2159	13.727199	311.49518	268.16788	134.18182	94.840775	31.64962	114.88994	-2.8846908	78000	-4.0690104e-08	441.0081	0.00930033	66.12568950653076	1.011246	0.0
26	272.70093	40.808247	324.97525	179.18675	126.478264	100.030334	29.948729	118.3146	0.15857053	81000	5.086263e-09	666.0302	0.00815853	68.60645008087158	0.87747175	0.0
27	292.82037	21.141466	324.5754	211.38934	137.04762	98.0221	30.7153	120.78055	1.8734348	84000	4.0690104e-08	429.88675	0.008521755	71.16919374465942	0.931035	0.0
