Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	Losspi	Lossv	KL	Time	ImproveCondition	BackTrack_Iters
0	-1329.9122	227.64047	-991.7695	-1800.68	200.0	-0.07120352	0.11883922	0.20390242	-0.29743063	3000	2.7974446e-08	180109.39	0.007691058	2.5121991634368896	0.96180916	0.0
1	-1391.4366	270.73093	-976.72675	-1815.6816	200.0	-8.830879	0.8711022	-5.1764183	-9.618896	6000	-1.742045e-07	197146.06	0.007852001	4.921425104141235	0.98043406	0.0
2	-1406.3245	307.68512	-848.9622	-1864.7134	200.0	-16.63055	0.3194937	-14.7809	-16.825886	9000	4.386902e-08	196423.02	0.0083301375	7.351714372634888	0.962435	0.0
3	-1240.3605	258.24133	-794.0072	-1778.1322	200.0	-22.839289	0.18024088	-21.941097	-22.968441	12000	9.2188515e-08	148794.77	0.0076949145	9.849667072296143	0.93176204	0.0
4	-1192.2488	223.14418	-797.1959	-1600.189	200.0	-28.161886	0.08035936	-27.81943	-28.223343	15000	-2.0980835e-07	133619.61	0.007382346	12.135744094848633	1.0176308	0.0
5	-1294.5741	331.91	-855.5914	-1859.3524	200.0	-33.17673	0.036027662	-32.985233	-33.205387	18000	-1.0172526e-07	156848.53	0.0066836877	14.413347482681274	0.97637606	0.0
6	-1252.5396	257.97607	-862.536	-1637.0392	200.0	-38.419434	0.03211949	-38.27536	-38.44126	21000	-7.6293944e-08	139855.3	0.0082833255	16.650166749954224	1.0696046	0.0
7	-1243.2598	344.13672	-868.79224	-1767.7014	200.0	-43.48687	0.031428266	-43.382366	-43.51146	24000	2.0345052e-08	140925.45	0.006860611	19.24542784690857	1.0518463	0.0
8	-1240.7279	360.23285	-779.13245	-1851.4669	200.0	-48.48597	0.029420657	-48.372055	-48.508617	27000	4.196167e-08	138173.2	0.0069543687	21.598907470703125	1.0201713	0.0
9	-1256.1107	245.73784	-879.1632	-1615.4335	200.0	-53.44263	0.010963645	-53.386494	-53.4505	30000	5.8492024e-08	130991.09	0.008530068	24.361976623535156	0.9575036	0.0
10	-1031.7495	151.15216	-862.3584	-1340.5085	200.0	-58.400448	0.015905352	-58.345448	-58.41797	33000	1.780192e-07	81335.8	0.0063805543	26.61060380935669	0.94594985	0.0
11	-1096.5597	260.8304	-760.75323	-1708.242	200.0	-62.545197	0.009231085	-62.518906	-62.55476	36000	-1.8882751e-07	94285.92	0.0067668674	28.899038553237915	0.97320414	0.0
12	-1052.957	207.82607	-844.57965	-1679.5675	200.0	-66.84123	0.0062813647	-66.820656	-66.84835	39000	4.83195e-08	81326.77	0.007911635	31.16385245323181	1.0312673	0.0
13	-1144.211	194.1226	-754.2989	-1509.5615	200.0	-70.98096	0.004493463	-70.96504	-70.98523	42000	-3.1789142e-08	96562.945	0.0074805915	33.45045495033264	1.0991744	0.0
