Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	20.863157	9.723125	58.0	9.0	20.863157	0.14654425	0.01784539	0.1750772	0.079224676	2000	0.012930536	208.13083	0.0	-125.133415	0.68368715	-3.5762787e-10	1.7315037250518799
1	19.65	9.914004	51.0	8.0	19.65	7.97883	0.26742256	8.218796	5.146441	4000	0.0138638215	85.07905	0.0	-26.610596	0.6850927	7.748604e-10	3.243920087814331
2	20.71875	9.904443	58.0	9.0	20.71875	10.537929	3.400168	12.702937	-7.780435	6000	0.013971982	58.051647	0.0	-4.2131844	0.687174	-2.026558e-09	4.90189003944397
3	21.89011	11.339371	68.0	10.0	21.89011	11.527413	3.8631258	14.128342	-6.000811	8000	0.009961129	71.98304	0.0	-5.8472137	0.6883277	8.642674e-10	6.432809829711914
4	19.732674	9.390211	61.0	9.0	19.732674	12.424561	4.3157697	15.733044	-2.3863177	10000	0.008325584	52.36683	0.0	-1.8809509	0.6900148	4.1723253e-10	7.959955930709839
5	24.506172	15.656122	84.0	9.0	24.506172	12.381166	3.5355842	14.849183	-0.24661581	12000	0.0043291934	126.422066	0.0	-14.394386	0.69099295	3.2782557e-10	9.528374671936035
6	23.094118	13.04438	85.0	10.0	23.094118	14.799375	4.380361	17.845238	-1.4248266	14000	0.0013421045	90.001656	0.0	-10.4928055	0.69174576	1.192093e-09	10.963151454925537
7	21.376345	10.89926	61.0	9.0	21.376345	13.514285	5.0927877	18.720463	0.788525	16000	-0.003197714	53.383778	0.0	-4.789074	0.6921148	-1.5795232e-09	12.429375648498535
8	24.358025	12.734039	74.0	8.0	24.358025	13.267092	4.786126	18.231115	1.0451826	18000	-0.004783997	72.975914	0.0	-10.254566	0.6922147	-1.7881394e-09	13.89726710319519
9	24.641975	14.071518	86.0	10.0	24.641975	13.972728	5.7376995	19.522099	0.52554905	20000	-0.0078607	81.04043	0.0	-4.7620163	0.6920552	1.7285348e-09	15.378546953201294
10	23.282352	13.710976	79.0	9.0	23.282352	14.693996	6.352379	20.96421	1.2195113	22000	-0.010194283	73.26821	0.0	-3.05941	0.6916896	-1.192093e-10	16.865142583847046
11	23.22093	11.776406	66.0	9.0	23.22093	13.996156	6.730576	21.124573	0.6509571	24000	-0.012723527	49.042027	0.0	-2.114338	0.69136435	5.3644184e-10	18.349285125732422
12	24.873417	14.384738	106.0	10.0	24.873417	13.9367075	6.113879	20.435484	0.7340262	26000	-0.012891849	86.76115	0.0	-3.8624725	0.6909163	-1.2218953e-09	19.83514904975891
13	27.219177	13.597187	89.0	9.0	27.219177	14.554718	6.721594	21.581503	0.5918378	28000	-0.016547365	78.00947	0.0	-5.1284714	0.6903052	3.2782557e-10	21.3164279460907
14	25.126583	13.560336	83.0	9.0	25.126583	15.479205	6.659889	21.883171	0.44236702	30000	-0.018627224	68.44294	0.0	-2.5421371	0.6892898	2.667308e-09	22.796775579452515
15	24.207317	13.427981	86.0	10.0	24.207317	14.62626	6.4990954	21.68142	0.7686316	32000	-0.021545038	71.00341	0.0	-2.2430878	0.68816656	6.8545347e-10	24.279036283493042
16	28.797102	16.241457	80.0	9.0	28.797102	14.850752	6.437842	21.626902	0.69535047	34000	-0.022078611	91.70492	0.0	-7.7330933	0.68783045	6.4074995e-10	26.039719820022583
17	28.492754	12.198388	58.0	9.0	28.492754	16.947636	7.421099	24.051142	0.7865789	36000	-0.026972037	53.546677	0.0	-3.9556808	0.68618566	7.450581e-11	27.781030654907227
18	25.532467	15.069178	91.0	9.0	25.532467	15.403875	6.857468	22.859774	1.2160801	38000	-0.025401507	81.91208	0.0	-2.9294357	0.6852487	-8.940697e-11	29.348039150238037
19	29.058823	19.26127	139.0	10.0	29.058823	15.655341	7.198197	23.479418	0.75839627	40000	-0.025731584	145.17941	0.0	-8.199692	0.68433833	3.2782557e-10	30.91855502128601
20	27.291666	17.961718	97.0	9.0	27.291666	17.025898	7.9511333	25.67744	0.5215348	42000	-0.024929892	132.8801	0.0	-17.87461	0.6833635	3.7252904e-10	32.41146159172058
21	27.027027	14.522092	81.0	9.0	27.027027	16.41323	7.644288	25.181953	-0.35961708	44000	-0.031215914	89.374756	0.0	-17.315018	0.6818959	1.0430813e-09	33.841519355773926
22	30.4	21.433115	116.0	10.0	30.4	15.699595	6.740194	23.638742	0.09568158	46000	-0.02337706	182.67424	0.0	-25.245209	0.6813418	-7.450581e-11	35.26818656921387
23	30.584616	17.754646	94.0	11.0	30.584616	19.269234	7.247187	25.927172	-0.32774135	48000	-0.03073815	119.45042	0.0	-7.9320984	0.6806974	-5.6624416e-10	36.69586443901062
24	29.22388	14.766663	84.0	10.0	29.22388	17.815996	7.4115686	25.081976	-0.6097142	50000	-0.034222506	81.00107	0.0	-4.73983	0.679446	-5.3644184e-10	38.13052678108215
25	28.2	15.034816	84.0	10.0	28.2	15.721549	7.4737935	24.145342	0.1844572	52000	-0.031606898	90.038414	0.0	-13.721664	0.67774516	-1.192093e-10	39.559608459472656
