Epoch	EpRet	AverageQVals	StdQVals	MaxQVals	MinQVals	TestEpRet	TestSuccess	TotalEnvInteracts	TotalTime
0	-46.0	-1.0474699	1.7375922	1.0797489	-11.852292	-45.0	0.1	2500	13.68777585029602
1	-41.96	-2.1395879	3.8808334	2.4296796	-24.554897	-45.0	0.1	5000	27.967344522476196
2	-41.94	-2.432352	5.9304566	4.3276863	-28.908308	-50.0	0.0	7500	42.42491602897644
3	-47.0	-2.5694184	7.60597	5.7572036	-33.02207	-50.0	0.0	10000	56.32374119758606
4	-47.0	-2.6785824	8.992533	6.480835	-36.590977	-50.0	0.0	12500	70.11029076576233
5	-46.8	-2.6886353	10.336202	8.192469	-42.90566	-45.0	0.1	15000	83.85607600212097
6	-47.82	-2.53731	11.507322	12.889524	-43.385067	-50.0	0.0	17500	97.6523642539978
7	-49.0	-2.3940823	12.643187	20.628595	-107.000824	-50.0	0.0	20000	111.28976559638977
8	-44.7	-2.1507645	13.630661	28.488783	-85.446495	-45.0	0.1	22500	124.68368101119995
9	-47.8	-1.71519	14.187871	39.677376	-57.829308	-50.0	0.0	25000	138.23968124389648
10	-48.0	-1.3488717	14.788453	48.64095	-88.57415	-50.0	0.0	27500	151.69498109817505
11	-43.94	-1.0558125	15.309803	48.619606	-70.831505	-40.0	0.2	30000	165.3102686405182
12	-46.1	-0.7517682	15.656953	49.444218	-71.933914	-50.0	0.0	32500	178.78593373298645
13	-48.0	-0.53685695	16.046425	50.349987	-69.914665	-50.0	0.0	35000	191.97859978675842
14	-47.9	-0.34768623	16.498549	57.44627	-58.56147	-45.0	0.1	37500	205.19730877876282
15	-45.56	-0.09842814	16.79646	62.8838	-59.779533	-45.0	0.1	40000	218.24821519851685
16	-46.0	0.11340702	16.956387	66.495964	-67.6925	-40.0	0.2	42500	231.164701461792
17	-48.78	0.24064046	17.149208	70.95666	-63.6668	-45.0	0.1	45000	244.1802408695221
18	-46.9	0.20124632	17.269354	67.58102	-64.9582	-50.0	0.0	47500	257.1563284397125
19	-48.82	0.03273261	17.210192	68.1376	-57.408474	-50.0	0.0	50000	270.5593910217285
20	-46.58	-0.075663455	17.178722	69.62821	-70.060036	-45.0	0.1	52500	283.95395374298096
21	-48.0	-0.13395739	17.084675	64.00823	-64.43663	-45.0	0.1	55000	297.1373288631439
22	-48.0	-0.17848818	16.909286	58.802197	-59.536736	-45.0	0.1	57500	310.34394454956055
23	-47.86	-0.3562312	16.822924	58.536686	-63.828583	-40.0	0.2	60000	323.5729205608368
24	-46.94	-0.6957612	16.948973	54.955387	-64.20261	-50.0	0.0	62500	337.14668107032776
25	-45.0	-0.88231695	17.078993	60.16586	-59.82574	-45.0	0.1	65000	350.81861329078674
26	-47.0	-1.1478512	17.35927	64.03001	-65.74769	-45.0	0.1	67500	364.02443194389343
27	-46.2	-1.3672225	17.539509	60.35847	-61.344055	-50.0	0.0	70000	377.41269063949585
28	-45.14	-1.5745386	17.60576	59.241474	-61.050842	-50.0	0.0	72500	390.7484836578369
29	-49.9	-1.8529676	17.715305	47.917206	-67.22265	-40.0	0.2	75000	403.97069025039673
30	-45.76	-2.1465461	17.84812	45.237785	-60.01418	-40.0	0.2	77500	417.05001878738403
31	-48.74	-2.3799415	17.884893	43.631153	-62.342052	-45.0	0.1	80000	430.62198996543884
32	-45.0	-2.5818741	17.845165	42.197197	-60.13637	-47.4	0.1	82500	444.2911856174469
33	-47.0	-2.883122	17.90375	40.72773	-60.094578	-50.0	0.0	85000	457.619149684906
34	-47.24	-3.118856	17.8846	42.187794	-72.323784	-45.0	0.1	87500	470.9485058784485
35	-47.0	-3.3307197	17.820992	38.29674	-65.72131	-45.0	0.1	90000	484.36970353126526
36	-48.56	-3.4930053	17.636864	37.259865	-63.733566	-45.0	0.1	92500	497.76695489883423
37	-47.68	-3.6884625	17.54604	34.386185	-58.195183	-50.0	0.0	95000	511.15144634246826
38	-48.0	-3.883413	17.569628	32.93865	-64.50871	-44.600002	0.1	97500	524.4604456424713
39	-46.0	-3.8019357	17.534224	30.007719	-66.49103	-50.0	0.0	100000	537.637823343277
40	-48.0	-3.6894813	17.6167	30.198511	-65.49748	-50.0	0.0	102500	551.3471245765686
41	-47.0	-3.506565	17.724407	32.25953	-66.22037	-35.0	0.3	105000	565.2115895748138
42	-47.0	-3.2173762	17.818752	29.159433	-64.640976	-50.0	0.0	107500	579.2228603363037
43	-48.94	-3.102492	18.006178	31.947271	-63.921288	-44.600002	0.1	110000	593.198486328125
44	-44.76	-2.9859133	18.098988	32.71367	-66.21333	-50.0	0.0	112500	607.1600856781006
45	-46.84	-3.1250963	18.203627	33.816807	-65.62246	-50.0	0.0	115000	621.2761332988739
46	-48.0	-3.2296808	18.127333	35.017788	-63.243835	-45.0	0.1	117500	635.263290643692
47	-47.0	-3.3841093	18.039787	35.546066	-66.19231	-50.0	0.0	120000	649.1983437538147
48	-46.08	-3.5062973	17.982592	36.511513	-64.18439	-45.0	0.1	122500	662.6975238323212
49	-45.98	-3.5171921	17.983938	34.690166	-65.19642	-50.0	0.0	125000	676.4283537864685
50	-48.0	-3.6293163	17.935026	35.841568	-67.598274	-45.0	0.1	127500	690.1273202896118
51	-47.32	-3.826838	17.876093	31.405191	-64.17661	-50.0	0.0	130000	704.061564207077
52	-47.68	-3.940623	17.775047	34.147926	-78.08213	-44.600002	0.1	132500	718.0192034244537
53	-48.0	-4.1371374	17.73099	35.3238	-87.25336	-44.8	0.1	135000	731.9043793678284
54	-46.84	-4.294341	17.703772	32.55015	-88.27201	-45.0	0.1	137500	745.4892961978912
55	-48.96	-4.2965145	17.693808	33.108315	-88.73604	-49.5	0.0	140000	758.535576581955
56	-47.64	-4.34385	17.712877	32.893387	-83.05656	-50.0	0.0	142500	771.6270225048065
57	-48.0	-4.408856	17.759317	33.49838	-97.49833	-50.0	0.0	145000	784.8919894695282
58	-49.54	-4.451369	17.735868	31.233204	-103.78807	-50.0	0.0	147500	798.3829488754272
59	-47.88	-4.563649	17.832586	30.08239	-101.39852	-44.600002	0.1	150000	811.9710736274719
60	-48.0	-4.681833	17.896893	31.2784	-112.9624	-50.0	0.0	152500	825.5919919013977
61	-45.98	-4.6510572	17.902126	30.240492	-130.89067	-40.0	0.2	155000	839.3699884414673
62	-47.1	-4.6193476	17.928682	29.657598	-126.72474	-45.0	0.1	157500	853.0397310256958
63	-47.68	-4.61957	17.975115	31.85578	-96.64889	-50.0	0.0	160000	866.2878251075745
64	-44.68	-4.585926	17.903912	29.690508	-113.8731	-50.0	0.0	162500	879.6413998603821
65	-46.8	-4.6804714	17.89584	27.930208	-106.33364	-48.8	0.0	165000	893.2422156333923
66	-48.0	-4.7583294	17.747263	27.20164	-100.412186	-50.0	0.0	167500	906.8568294048309
67	-43.88	-4.78602	17.702652	28.264168	-103.52325	-40.0	0.2	170000	920.6432704925537
68	-46.58	-4.7613206	17.518791	28.865734	-84.89895	-44.3	0.2	172500	934.078640460968
69	-49.68	-4.754581	17.37698	29.57458	-85.708855	-50.0	0.0	175000	947.7629158496857
70	-44.4	-4.66056	17.162159	29.521976	-90.344376	-49.8	0.0	177500	961.8001146316528
71	-47.5	-4.633115	16.998154	29.193922	-90.94595	-45.0	0.1	180000	975.5228717327118
72	-47.9	-4.6176596	16.920485	27.843388	-94.201935	-50.0	0.0	182500	989.2405207157135
73	-45.96	-4.455504	16.730595	26.982222	-81.934395	-40.0	0.2	185000	1002.8466939926147
74	-48.0	-4.349803	16.61693	26.58601	-92.70722	-45.0	0.1	187500	1016.561520576477
75	-45.28	-4.1689253	16.498411	27.43701	-102.22415	-50.0	0.0	190000	1030.2280950546265
76	-46.92	-4.0459056	16.440329	25.592176	-108.29193	-47.8	0.1	192500	1043.9992365837097
77	-46.9	-3.9196405	16.341457	23.46294	-124.53395	-48.9	0.0	195000	1057.5375938415527
78	-45.92	-3.9231467	16.321356	23.425343	-106.37666	-45.0	0.1	197500	1071.1098890304565
79	-46.6	-4.044505	16.212648	21.660892	-130.84833	-50.0	0.0	200000	1084.7730011940002
80	-48.26	-4.0929904	16.042068	19.946234	-103.08953	-50.0	0.0	202500	1098.3081765174866
81	-46.58	-4.1799016	15.945532	19.604143	-127.58977	-45.8	0.1	205000	1111.8312492370605
82	-45.48	-4.1694336	15.819967	14.606796	-125.65761	-48.3	0.0	207500	1125.5409214496613
83	-44.34	-4.0783677	15.658757	14.39659	-157.46678	-50.0	0.0	210000	1139.145807504654
84	-46.02	-4.0044284	15.516776	15.699578	-148.22507	-42.3	0.2	212500	1152.8564236164093
85	-44.44	-3.9152842	15.407724	16.452703	-142.38121	-49.8	0.0	215000	1166.4601790904999
86	-46.24	-3.8724606	15.2972555	15.638538	-156.59872	-44.399998	0.2	217500	1180.0552771091461
87	-48.54	-3.8468854	15.247011	16.160295	-106.39238	-40.5	0.3	220000	1193.4664268493652
88	-46.04	-3.6944342	15.07621	17.561487	-132.30586	-49.2	0.0	222500	1206.7112398147583
89	-47.96	-3.4048262	14.908935	20.064352	-114.34159	-39.5	0.2	225000	1219.7202262878418
90	-44.38	-3.1000464	14.820148	20.752956	-144.08496	-45.0	0.1	227500	1232.7436809539795
91	-45.36	-2.8930702	14.881308	19.620821	-136.4948	-46.2	0.1	230000	1245.810961008072
92	-43.96	-2.7027388	14.849052	18.463598	-136.2806	-50.0	0.0	232500	1258.7468078136444
93	-45.06	-2.4608605	14.62166	18.38888	-133.50848	-48.3	0.0	235000	1271.6983850002289
94	-46.66	-2.4297361	14.444048	17.69502	-116.91515	-44.899998	0.1	237500	1284.6737287044525
95	-46.12	-2.409484	14.140294	15.543688	-113.963005	-45.8	0.1	240000	1297.941526889801
96	-42.56	-2.4906468	13.984097	15.514694	-92.87693	-43.5	0.2	242500	1311.0322170257568
97	-46.08	-2.4059746	13.830786	15.3912	-87.426476	-46.2	0.0	245000	1324.408546924591
98	-44.44	-2.2163708	13.545338	13.755372	-95.530464	-46.6	0.0	247500	1337.9143645763397
99	-45.66	-2.1105063	13.289523	13.370142	-102.94465	-44.8	0.1	250000	1351.2057130336761
100	-46.48	-1.9462775	12.95927	12.426534	-85.249306	-48.6	0.0	252500	1364.6893966197968
101	-45.82	-1.893402	12.653907	12.163795	-85.12881	-45.7	0.1	255000	1378.3557393550873
102	-44.02	-1.9912114	12.447875	11.862315	-87.761	-40.8	0.2	257500	1391.9304418563843
103	-43.7	-2.057282	12.217756	14.2562275	-71.02606	-45.899998	0.1	260000	1405.503077507019
104	-44.42	-2.0629656	12.044783	13.792222	-74.57382	-36.399998	0.3	262500	1419.046148300171
105	-41.28	-2.023919	11.889496	14.363049	-74.471725	-40.2	0.2	265000	1432.396863937378
106	-47.5	-2.0208318	11.790982	15.199255	-68.82463	-30.2	0.5	267500	1445.6244106292725
107	-41.24	-1.9533507	11.621445	13.676615	-71.30392	-39.600002	0.2	270000	1458.7186393737793
108	-41.3	-1.8464715	11.4789505	14.214716	-68.9771	-35.0	0.4	272500	1471.6549468040466
109	-43.38	-1.7256507	11.352434	15.27785	-66.492546	-45.5	0.2	275000	1484.54448056221
110	-44.22	-1.6999791	11.284265	14.58468	-66.11429	-45.5	0.1	277500	1497.4652771949768
111	-45.22	-1.657189	11.236117	14.967254	-72.42977	-42.0	0.2	280000	1510.370847940445
112	-42.94	-1.5881552	11.221297	16.226656	-74.93043	-44.899998	0.1	282500	1523.2438662052155
113	-41.42	-1.4949317	11.319169	16.70212	-69.47441	-48.1	0.1	285000	1536.2325825691223
114	-41.06	-1.3001657	11.332843	16.899418	-79.95277	-39.5	0.2	287500	1549.2149200439453
115	-43.38	-1.129317	11.275622	17.52696	-70.78838	-36.8	0.3	290000	1562.6370205879211
116	-44.72	-0.8961748	11.167098	17.431133	-72.18943	-44.8	0.1	292500	1576.0319571495056
117	-41.12	-0.79488397	11.134425	19.436712	-76.09523	-34.0	0.5	295000	1589.137071609497
118	-40.18	-0.75059116	11.04124	18.172424	-72.78301	-38.0	0.3	297500	1602.2760462760925
119	-41.32	-0.6975557	10.908079	19.351608	-71.6874	-35.399998	0.3	300000	1615.3778262138367
120	-36.48	-0.62071913	10.850535	19.184935	-73.67765	-29.4	0.5	302500	1628.9843316078186
121	-36.96	-0.529944	10.810487	19.581955	-75.32707	-39.3	0.2	305000	1642.2727618217468
122	-40.96	-0.43971688	10.734848	20.215757	-71.240585	-36.2	0.4	307500	1655.823579788208
123	-40.64	-0.37905806	10.703366	21.28952	-73.9935	-40.0	0.2	310000	1669.3201975822449
124	-40.1	-0.19402671	10.828511	21.989197	-68.4602	-40.5	0.3	312500	1682.7226219177246
125	-36.22	0.13507228	10.878645	23.364763	-76.015884	-38.899998	0.3	315000	1696.0088329315186
126	-37.94	0.45748344	10.92918	23.161274	-76.05303	-28.7	0.5	317500	1709.3029987812042
127	-33.42	0.7868634	11.022625	23.590567	-74.109695	-38.0	0.4	320000	1722.426284790039
128	-41.58	1.0699067	11.031567	24.001158	-76.05307	-35.2	0.4	322500	1735.5365867614746
129	-34.84	1.3178575	10.9602585	22.582117	-74.54496	-38.7	0.4	325000	1748.6665856838226
130	-36.9	1.3351188	10.888599	22.347935	-75.45151	-26.9	0.7	327500	1761.974003791809
131	-37.84	1.3310478	10.551471	21.811098	-75.79329	-33.2	0.5	330000	1775.3807306289673
132	-36.8	1.2124977	10.345215	20.267437	-71.81968	-34.7	0.4	332500	1788.5493655204773
133	-34.6	1.1839645	10.210989	20.383823	-74.575806	-37.600002	0.3	335000	1801.774275302887
134	-30.98	1.3154012	10.156548	22.35407	-75.98088	-41.2	0.2	337500	1814.9826459884644
135	-37.02	1.5547261	10.180067	24.008476	-76.80382	-32.899998	0.4	340000	1828.0586857795715
136	-34.58	1.834074	10.295661	24.650206	-68.64371	-38.3	0.3	342500	1841.2056574821472
137	-36.84	1.9467719	10.275468	25.616503	-74.524574	-37.0	0.3	345000	1854.3254358768463
138	-39.18	1.930504	10.281525	27.444277	-72.29253	-31.5	0.5	347500	1867.4448652267456
139	-38.82	1.8117889	10.211206	26.91412	-71.65282	-30.5	0.6	350000	1880.7263383865356
140	-34.92	1.6774905	10.124022	27.181498	-73.96756	-38.399998	0.2	352500	1894.1112749576569
141	-35.82	1.7252427	10.088574	31.309097	-79.03274	-45.600002	0.0	355000	1907.4782514572144
142	-40.14	1.9709107	10.185115	34.688248	-76.15182	-32.8	0.3	357500	1920.8599281311035
143	-33.28	2.1453063	10.42298	35.780636	-75.20816	-33.100002	0.5	360000	1934.476322889328
144	-35.96	2.1895711	10.451009	36.120884	-82.68411	-39.7	0.2	362500	1948.0345704555511
145	-34.78	2.1223555	10.334999	37.48317	-85.942314	-28.3	0.7	365000	1961.668380498886
146	-38.98	2.1094499	10.315186	37.991123	-82.32414	-40.5	0.3	367500	1975.136131286621
147	-37.22	2.563744	10.629082	37.92434	-86.04661	-34.7	0.3	370000	1988.5422031879425
148	-34.02	3.3049202	11.000036	39.371193	-93.26758	-30.3	0.6	372500	2001.9820251464844
149	-35.96	3.7597153	11.14081	40.026543	-103.99652	-33.5	0.5	375000	2015.3658978939056
150	-36.34	4.0564604	11.201946	40.37889	-100.184845	-26.4	0.6	377500	2029.266881942749
151	-34.38	4.284982	11.190779	41.351017	-86.394	-31.2	0.5	380000	2042.6442019939423
152	-32.68	4.3189383	11.113125	42.216022	-80.47116	-26.2	0.6	382500	2056.016965866089
153	-35.04	4.1443467	11.05262	41.69679	-90.37212	-35.2	0.6	385000	2069.249837875366
154	-34.98	4.008668	11.050741	41.642815	-95.5091	-37.899998	0.3	387500	2082.393718481064
155	-31.5	4.1091886	11.156942	42.959244	-87.97712	-19.6	0.9	390000	2096.2066643238068
156	-40.82	4.6562943	11.474363	43.652153	-91.18955	-33.399998	0.4	392500	2109.4152500629425
157	-34.6	4.794602	11.576758	40.480156	-94.18323	-42.2	0.2	395000	2122.271094083786
158	-34.86	4.3373613	11.276063	39.582634	-83.47068	-29.3	0.6	397500	2135.714241027832
159	-33.7	3.6532772	10.912185	37.96073	-88.45382	-33.399998	0.5	400000	2149.078999519348
160	-34.52	2.939353	10.577797	36.49651	-88.755394	-25.1	0.7	402500	2162.321538209915
161	-33.98	2.3245585	10.358896	34.410553	-82.41191	-19.0	0.8	405000	2175.484484910965
162	-32.44	2.0740898	10.491874	38.239418	-84.090515	-29.3	0.5	407500	2188.678905725479
163	-36.6	3.3929152	11.521568	34.991364	-82.121666	-29.9	0.6	410000	2202.2426829338074
164	-33.96	5.8488426	12.661873	33.704556	-80.38619	-27.1	0.6	412500	2215.8165516853333
165	-34.48	6.9478345	12.681551	33.198505	-88.581184	-33.5	0.5	415000	2229.3768072128296
166	-35.74	6.719404	12.00117	32.477467	-81.69587	-31.8	0.5	417500	2242.8776791095734
167	-31.76	5.9555216	11.3446665	31.915266	-99.19483	-17.4	0.8	420000	2256.615814447403
168	-30.0	5.0500464	10.74698	32.04619	-85.006615	-25.5	0.8	422500	2270.145263671875
169	-31.96	4.1753287	10.206983	30.239546	-78.17621	-32.100002	0.5	425000	2283.4237892627716
170	-33.26	3.3721266	9.809093	28.23748	-93.3356	-25.1	0.6	427500	2296.6504447460175
171	-31.36	2.731882	9.528215	28.251143	-96.38163	-30.3	0.6	430000	2309.8464918136597
172	-33.5	2.2508454	9.217114	27.158531	-84.93113	-25.1	0.7	432500	2323.2149505615234
173	-33.48	1.9456358	8.993401	26.37746	-70.91268	-32.5	0.5	435000	2336.9634416103363
174	-31.88	1.7867563	8.842282	26.29057	-77.69612	-20.300001	0.9	437500	2350.517191886902
175	-26.1	1.7171495	8.601916	25.080805	-82.19647	-25.3	0.7	440000	2363.981667995453
176	-31.92	1.7660772	8.344971	23.950592	-72.45814	-25.2	0.5	442500	2377.481121778488
177	-29.4	1.9778426	8.082557	21.548738	-72.0444	-27.9	0.7	445000	2390.896803379059
178	-32.34	2.3305142	7.872714	22.279299	-71.88728	-28.4	0.9	447500	2404.5440418720245
179	-35.04	2.6504774	7.711037	22.949444	-73.70943	-28.9	0.6	450000	2418.2698333263397
180	-29.18	2.7949588	7.56971	23.851662	-73.523674	-28.0	0.5	452500	2431.8755316734314
181	-34.94	2.7537036	7.4958477	25.396788	-80.68521	-23.5	0.9	455000	2445.226541996002
182	-27.34	2.7311244	7.4211664	27.430826	-72.206696	-18.6	1.0	457500	2458.515659093857
183	-30.16	2.7713456	7.5420127	30.627962	-80.76903	-34.899998	0.6	460000	2471.7897143363953
184	-29.92	2.9724166	7.7485604	32.645752	-76.35226	-31.5	0.6	462500	2485.3120696544647
185	-30.88	3.5002153	8.113454	36.917744	-78.44562	-26.7	0.7	465000	2498.830417394638
186	-27.08	4.0866423	8.297105	41.79971	-75.52113	-21.6	0.7	467500	2512.3908648490906
187	-36.06	4.4428644	8.348624	47.440735	-79.07645	-31.3	0.6	470000	2526.0458047389984
188	-30.72	5.079326	8.767712	48.9336	-78.59145	-24.1	0.7	472500	2539.815129995346
189	-29.88	6.1485896	9.291255	50.3089	-78.70382	-23.9	0.7	475000	2553.5813171863556
190	-29.06	6.689551	9.23337	47.88791	-87.59444	-19.300001	0.8	477500	2567.1435952186584
191	-31.94	6.685935	8.853211	47.593975	-82.38214	-27.4	0.6	480000	2581.147383928299
192	-26.08	6.7498856	8.593004	37.79647	-84.54666	-27.3	0.7	482500	2595.0454411506653
193	-31.72	7.101863	8.607286	36.69851	-82.02115	-22.699999	0.7	485000	2608.86993432045
194	-31.36	7.5938125	8.713823	39.326626	-86.26287	-27.5	0.6	487500	2622.749526500702
195	-35.34	8.007253	8.899058	35.09292	-88.704285	-26.5	0.6	490000	2636.6688692569733
196	-31.26	8.260877	8.9404125	37.77355	-99.237305	-31.4	0.4	492500	2650.1442799568176
197	-30.8	8.06613	8.935496	36.743782	-115.7	-23.0	0.9	495000	2663.3955450057983
198	-25.78	7.430013	8.596119	32.207325	-121.92887	-16.800001	0.9	497500	2677.022714614868
199	-29.02	6.6679325	8.115593	31.01768	-111.79288	-20.5	0.8	500000	2690.670867919922
200	-29.22	5.7614284	7.845401	30.95362	-104.772484	-35.2	0.6	502500	2704.252276659012
201	-28.28	4.859026	7.697249	30.731281	-125.75305	-21.9	0.9	505000	2717.809000968933
202	-28.84	4.0736017	7.5362124	24.133018	-119.79005	-31.9	0.7	507500	2731.368978500366
203	-31.66	3.52194	7.468709	26.115028	-122.17028	-25.3	0.7	510000	2744.9358513355255
204	-33.88	3.644718	7.9808483	27.39693	-113.87688	-25.2	0.8	512500	2758.5125114917755
205	-33.32	4.4818916	8.735346	29.268015	-108.10682	-18.9	0.9	515000	2771.9105401039124
206	-27.06	4.973093	8.915583	29.301844	-107.47243	-25.3	0.7	517500	2785.4388885498047
207	-29.18	4.74349	8.634656	28.795082	-111.63369	-20.300001	0.9	520000	2799.093071460724
208	-35.04	4.275138	8.402572	28.539263	-138.13753	-20.9	0.9	522500	2812.457718372345
209	-26.66	3.8253949	8.40972	28.190111	-128.60028	-28.0	0.8	525000	2825.8199791908264
210	-27.44	3.8083758	8.514083	27.78047	-126.72923	-22.9	0.8	527500	2839.093591451645
211	-26.26	3.8073175	8.460568	26.903553	-138.70598	-15.8	1.0	530000	2852.507238149643
212	-31.08	3.499233	8.146528	25.615948	-159.75818	-23.6	0.8	532500	2865.991842985153
213	-29.56	2.9372342	7.8070335	23.35312	-156.47548	-22.699999	0.7	535000	2879.5319039821625
214	-29.12	2.3117309	7.5648303	21.274181	-155.50417	-24.6	0.7	537500	2892.821538925171
215	-28.02	1.8459553	7.4098372	20.141882	-111.35592	-10.5	1.0	540000	2905.99933552742
216	-29.62	1.6130054	7.3384843	18.275272	-111.770096	-24.2	0.8	542500	2919.1810417175293
217	-30.24	1.6031651	7.192326	17.493816	-112.37874	-17.699999	0.8	545000	2932.343111038208
218	-28.0	1.5107139	7.070382	31.08216	-108.27691	-22.300001	0.9	547500	2945.625069141388
219	-27.54	1.3634356	7.0500546	75.26252	-103.5434	-24.4	0.7	550000	2958.904369831085
220	-26.58	1.288988	7.0595217	77.94253	-102.85728	-18.6	0.8	552500	2972.110311985016
221	-27.74	1.4020307	7.214421	67.45057	-102.14792	-19.199999	0.8	555000	2985.323681116104
222	-29.28	3.1008809	8.656415	108.895905	-90.73348	-28.7	0.6	557500	2998.590182542801
223	-30.8	6.6261854	11.675199	114.734825	-80.07472	-34.899998	0.5	560000	3011.9468660354614
224	-37.1	14.357872	17.263193	121.917114	-67.83745	-47.4	0.1	562500	3025.0449283123016
225	-41.36	23.19631	19.586355	115.714516	-76.299965	-40.100002	0.3	565000	3037.9522354602814
226	-39.94	31.32489	19.987116	113.2455	-80.76762	-31.4	0.4	567500	3050.777848005295
227	-37.16	34.21803	17.778555	115.47787	-105.544975	-40.3	0.3	570000	3063.8538897037506
228	-37.2	32.1853	14.917509	118.154976	-127.35969	-33.7	0.4	572500	3077.116992712021
229	-33.64	30.173372	13.213221	114.25696	-134.51537	-39.3	0.3	575000	3090.650852203369
230	-37.22	28.375164	12.268423	108.50557	-131.20491	-34.899998	0.4	577500	3104.1331164836884
