Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	19.181871	20.822891	206.81116	5.6657233	38.71235	0.7788995	40.555428	37.20155	22.647728	22.0	3999	13.220069	11.105294	76.691826	-21.843637	-15.505778	1.3881052	9.945130348205566
2	17.402693	12.076563	71.56319	5.4475203	11.098303	1.6679611	14.697544	9.580194	21.564516	12.9	7999	82.14589	39.12593	197.2416	-78.17467	-92.114815	24.285288	23.013142824172974
3	38.282944	53.04382	226.97351	5.475645	175.46848	3.6067224	180.57014	170.95749	30.30303	90.4	11999	218.73727	75.21617	368.28302	-169.33965	-238.61235	163.31943	36.70080518722534
4	147.51314	35.346127	181.46739	58.41027	110.917076	40.832035	164.0732	73.11036	79.918365	66.3	15999	281.60803	81.93851	411.92145	-168.27193	-296.04214	221.74875	51.28597140312195
5	27.840965	73.838196	363.16037	-2.5322866	202.82858	76.75854	278.72516	105.73469	32.408	98.4	19999	340.29187	116.688835	704.5015	-274.31564	-360.99924	385.89053	64.81004643440247
6	239.42094	99.26491	465.01328	72.562096	226.65862	78.03132	393.63785	107.62639	134.86208	165.6	23999	471.06488	148.8826	892.20215	-261.673	-498.078	627.857	78.40686416625977
7	204.8522	89.69506	501.8411	89.55992	369.9775	175.3278	728.18744	193.16116	123.69697	230.0	27999	572.726	162.93442	898.5974	-290.36588	-598.09406	849.5358	92.19140958786011
8	194.11154	254.11244	944.2424	3.8014138	256.60403	64.47233	378.6274	179.66359	126.03226	114.6	31999	617.8604	165.88835	879.6672	-366.89935	-639.99835	901.0752	105.72784948348999
9	324.2559	163.67047	779.52136	11.410183	470.12662	274.56702	1054.6561	226.34909	185.72728	222.5	35999	632.2327	179.63994	963.8678	-794.3159	-654.03345	892.7442	120.02767872810364
10	422.57715	202.95102	766.59393	68.980995	791.2435	112.2398	1058.6749	618.4149	182.5	341.2	39999	661.04254	197.18062	976.4377	-544.8021	-682.53015	853.712	134.38540196418762
11	349.54153	178.17268	712.4474	73.313866	653.06866	220.39607	999.6686	335.88174	203.42105	313.2	43999	678.2081	205.98926	919.53326	-695.00964	-698.35724	793.0165	148.71086049079895
12	305.38	250.09387	1022.94055	78.21675	361.4742	194.39143	654.6152	70.39169	242.0	203.2	47999	682.56537	204.52287	933.22	-593.19666	-701.71185	780.52625	162.8665361404419
13	281.81912	212.2549	809.2674	63.85845	385.46716	340.5605	1053.5537	140.52219	210.10527	348.3	51999	692.81494	202.3317	931.2317	-582.64154	-711.77106	767.98444	177.11269760131836
14	333.57953	255.5624	1039.8634	62.150368	351.7829	62.782272	421.93253	178.068	190.95238	140.2	55999	697.6875	194.4737	918.2502	-625.50916	-715.352	752.069	190.71859645843506
15	232.62505	216.4211	1008.28766	115.56061	438.975	99.96711	664.73987	351.92856	119.0	179.8	59999	683.23334	195.41527	901.13635	-682.0117	-699.77155	720.3838	204.6840443611145
16	380.93146	205.56038	851.39014	135.67612	324.6677	229.98038	906.9469	59.113678	159.52	193.7	63999	669.54803	202.53305	888.65265	-405.9549	-685.42	653.4597	219.10635328292847
17	654.76575	321.53082	1115.6467	215.65909	562.91766	178.09964	694.8909	292.0988	534.4286	208.7	67999	665.2495	198.37347	895.2251	-582.3914	-681.0148	650.3818	233.24976778030396
18	628.20245	330.7369	1306.2987	230.96877	343.98672	248.26859	789.3784	170.88976	301.42856	160.0	71999	664.379	190.0476	887.6125	-478.78717	-679.07153	594.5197	247.2965829372406
19	490.28033	340.54904	1240.5731	35.48476	453.54248	65.92187	560.1045	389.31366	202.6	192.0	75999	664.2747	185.31561	924.19916	-599.8311	-678.73254	604.13574	261.4773256778717
20	397.36752	186.45734	839.32886	150.65387	459.1185	267.11005	900.0584	217.95311	166.08696	176.2	79999	661.83636	182.0202	917.55786	-549.30426	-675.3781	576.85864	275.6089246273041
21	414.0151	259.7598	1064.9629	38.663723	450.59384	260.12946	697.81915	40.83738	159.6	161.3	83999	649.2872	181.7052	889.73004	-509.57648	-662.0481	563.71564	289.684522151947
22	540.8913	188.10922	745.03625	99.71001	401.6459	211.40099	671.47107	189.92545	207.8	164.5	87999	634.3668	183.22768	886.1541	-411.81345	-646.5185	477.29242	303.79383635520935
23	516.6781	279.68494	1019.30225	31.70523	712.7928	200.43198	820.8231	115.82398	222.77777	299.4	91999	615.51434	180.82826	863.318	-416.62344	-626.8491	448.267	318.36536169052124
24	469.24075	471.00296	2080.3362	90.10824	455.98715	269.35062	1018.36066	98.99093	228.88235	269.5	95999	598.6434	174.82101	824.5045	-391.4483	-609.0668	422.41345	332.8153350353241
25	207.63983	229.20189	916.8053	21.110981	644.9962	621.4243	1941.8972	155.43286	118.76471	378.6	99999	581.5054	166.9967	788.9654	-500.78674	-591.5335	420.07468	347.6927194595337
26	413.69333	195.14041	799.53156	155.58487	743.72644	768.30084	2359.2424	256.318	230.29411	336.1	103999	566.7516	158.47482	760.80273	-404.5958	-576.2496	439.63046	362.454806804657
27	401.26877	503.87973	2505.2747	130.301	152.86353	4.1247573	157.92671	145.16858	177.43478	77.2	107999	550.3817	151.61815	733.8327	-369.0095	-559.3683	422.76306	376.30301213264465
28	451.16434	394.00214	1574.4092	140.77824	517.1314	285.38907	891.5073	64.33311	184.80952	206.5	111999	536.60626	150.7247	774.854	-363.8881	-545.37555	396.1077	390.5242462158203
29	287.58893	291.57797	1241.9629	62.288296	194.3204	12.904208	208.4595	168.35313	118.911766	86.5	115999	527.00726	153.73654	809.3978	-568.8234	-535.83777	421.1506	404.0118055343628
30	479.83423	381.58365	1071.1077	6.5370965	912.1703	98.57953	1088.0348	800.5221	168.20833	293.9	119999	521.0051	159.83661	833.7533	-369.62357	-530.0707	421.60608	418.6195583343506
31	790.3645	406.68146	1488.3186	41.293888	1805.8545	1044.3262	3074.7222	601.483	268.92307	624.7	123999	522.522	160.40536	831.87897	-445.76224	-531.6533	400.87463	434.34182500839233
32	1475.2153	547.2531	2470.0166	632.98755	705.9403	267.23773	1507.2241	603.6924	520.75	304.0	127999	526.1015	159.2322	805.5735	-353.7039	-534.9494	403.8215	448.9326362609863
33	1381.9287	778.68317	2896.4536	71.80274	1063.4733	472.85208	2161.7207	352.4311	490.375	475.3	131999	524.7911	156.36717	751.9688	-354.01184	-533.34216	381.58157	464.1347689628601
34	368.09378	389.6198	1627.5981	16.668749	228.3898	6.490438	237.38382	218.50479	174.46153	153.9	135999	521.45374	152.02347	738.4387	-445.21783	-529.6755	365.4533	478.2051136493683
35	554.7141	362.92328	1536.267	248.77902	493.96832	202.81432	910.86646	196.59842	290.69232	181.9	139999	509.97775	149.33897	700.03436	-297.66983	-517.35046	340.5833	492.3910400867462
36	542.3971	413.06342	1852.8088	163.79329	311.067	63.18238	423.99475	237.60619	231.11111	135.9	143999	496.86813	147.28627	700.0335	-347.38416	-504.30887	304.37585	505.9882712364197
37	409.22742	216.63791	1219.082	261.68314	463.01495	254.0852	951.82367	260.72238	199.94444	241.5	147999	489.8232	143.77498	668.911	-335.65854	-497.07352	300.78357	519.8516192436218
38	1026.3944	608.622	1875.6373	54.60866	1316.1868	778.3584	2454.889	293.6991	373.08334	529.1	151999	480.8064	142.01735	657.97156	-344.99176	-487.6958	285.41205	534.7311601638794
39	758.7253	382.5119	1533.24	216.77786	186.83752	12.227597	206.74384	168.51202	305.15384	97.3	155999	473.21713	140.06262	649.39636	-347.02585	-479.90143	299.00702	548.123292684555
40	782.68567	460.5988	1799.3938	37.270573	2253.8442	385.9627	3024.6536	1788.0907	271.69232	760.8	159999	467.43552	140.0195	662.57983	-478.49435	-474.0725	275.86703	563.9714560508728
41	1120.282	490.02188	1832.4008	291.02115	910.2167	707.9942	2804.3108	476.9481	400.45456	356.7	163999	463.4888	139.83907	652.68744	-434.0897	-470.07962	265.28116	578.6085138320923
42	931.2835	733.8108	2493.7666	58.04413	595.5211	356.94962	1622.0942	423.26907	373.8	229.9	167999	463.37708	134.84747	636.4272	-428.41245	-469.83813	252.39668	592.8414313793182
43	1228.106	292.93564	1662.0261	601.22046	1547.7994	179.93541	2027.1361	1427.1777	460.75	479.2	171999	459.04205	131.5152	631.6233	-325.7107	-465.10037	238.75993	607.9474654197693
44	1157.2278	665.2381	2445.5298	366.01083	174.50912	200.08519	774.51013	97.8834	440.3	93.6	175999	452.40323	129.20308	597.95355	-367.99313	-458.4233	236.73235	621.6616270542145
45	895.06256	741.61237	2550.0596	93.31476	1228.5222	667.5933	2330.9753	518.44696	485.875	542.0	179999	447.33972	125.80101	589.80853	-363.50775	-453.18637	223.8882	637.0849139690399
46	833.32416	573.2315	2116.8433	75.34107	504.69205	283.73215	1090.1506	220.1521	333.84616	195.1	183999	441.36325	124.06543	578.7148	-323.02988	-446.89066	201.75581	650.8562316894531
47	537.12616	400.90564	1179.9442	41.272804	261.6125	286.70258	1107.5942	110.04115	199.5	135.8	187999	436.6312	123.56499	590.5567	-285.5149	-442.25333	220.255	664.423572063446
48	529.6403	480.3472	1886.1199	88.621346	492.9721	160.7552	798.0256	235.2784	221.05556	216.4	191999	433.83145	125.363	612.2509	-347.93024	-439.28995	226.82959	678.2754898071289
49	516.9295	483.16098	1299.9258	25.200584	770.28674	298.34756	1524.3665	388.97284	219.47058	313.1	195999	432.00836	123.94547	600.6354	-349.2709	-437.44202	228.64847	692.4276797771454
50	1500.1919	823.64716	2901.4978	266.83795	416.13605	488.6624	1842.9674	189.74866	519.125	189.1	199999	430.81277	122.951775	594.4465	-435.3913	-436.2475	206.90154	706.087007522583
51	1667.7649	639.23114	2843.383	639.47876	1777.6484	440.90607	2557.9377	1086.8054	577.8571	584.5	203999	427.36032	121.46096	578.07983	-463.79855	-432.36032	198.05708	721.3204920291901
52	1472.0535	999.00165	3022.5745	277.9292	2330.3591	929.3745	3114.289	286.71317	507.75	765.9	207999	422.1196	119.37886	560.14844	-562.6298	-427.00504	187.64558	737.4748735427856
53	1103.4314	846.445	2968.1284	243.08939	1438.2427	1051.5295	3099.36	281.0445	394.7	510.1	211999	417.62347	118.23523	549.4449	-270.38486	-422.44952	182.3127	752.779422044754
54	1010.2272	424.8559	1706.7324	275.64276	1481.179	604.5901	2935.1738	641.77875	362.54544	504.0	215999	412.9835	115.74102	548.8224	-356.60007	-417.69113	174.52112	768.1113398075104
55	1246.7634	492.7884	1984.0393	128.9175	1294.2627	485.33884	2376.5032	824.8709	409.6	413.2	219999	409.713	114.06376	548.7871	-322.83987	-414.37207	186.0612	783.082909822464
56	1027.6129	284.1615	1417.616	550.5348	1792.5701	805.03546	3021.6008	1080.6277	342.3	600.7	223999	407.57272	112.05014	538.95605	-321.46198	-412.13724	170.78096	798.7106423377991
57	1804.7726	995.2438	2977.994	264.13687	2112.4993	512.63794	2961.0913	1373.5903	617.4286	700.1	227999	407.5766	110.32776	530.8227	-296.1672	-412.1373	159.18724	814.6839592456818
58	1372.1124	791.2328	2799.121	179.38353	1767.8217	669.4642	3193.4429	683.49164	478.8889	591.8	231999	405.58383	109.48477	533.1494	-213.80681	-410.02213	163.84372	830.3474040031433
59	1237.0864	400.62723	1990.8849	384.09042	1837.4066	1018.62024	3023.1074	438.67252	402.77777	633.5	235999	401.4216	108.557594	522.31006	-325.1989	-405.74142	164.22131	845.8699114322662
60	2146.631	631.3618	2960.569	881.96844	2661.6714	761.0763	3246.855	669.5974	709.6667	835.4	239999	399.3946	107.334785	525.83997	-390.58432	-403.63806	149.81355	862.2430927753448
61	1366.5515	836.3138	3096.1318	386.84402	533.98	35.11895	625.0508	497.19525	452.5	185.0	243999	397.5398	105.80763	510.69165	-329.31882	-401.698	144.59044	876.3760693073273
62	1285.7603	712.11334	2521.5	215.21245	1219.5239	382.36414	1997.8547	711.86957	427.6	372.8	247999	394.98407	102.88656	505.03253	-403.55585	-399.01218	148.21744	891.1964983940125
