Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.042253	9.264405	47.0	9.0	21.042253	0.20444208	0.032543123	0.3030538	0.081307776	3000	-1.0681152e-07	199.70074	-0.017504629	-123.51809	0.687361	0.015155623	0.26666665	19.0	2.7663094997406006
1	28.283018	19.587133	131.0	9.0	28.283018	8.051151	0.3531045	8.500666	5.5637455	6000	-3.0517576e-08	295.30167	-0.015939258	-94.48184	0.68643993	0.006252451	0.06566667	79.0	5.488837003707886
2	32.622223	19.251308	110.0	9.0	32.622223	13.960741	2.383028	15.264307	-6.771382	9000	3.3060708e-08	203.87228	-0.015400006	-33.31909	0.67284435	0.015259054	0.10566667	15.0	7.8829193115234375
3	36.048782	21.800594	97.0	10.0	36.048782	18.115631	2.5039804	19.043629	-9.543284	12000	-1.5258788e-08	213.11766	-0.013668651	-9.653397	0.6554595	0.015737776	0.105	12.0	10.337699174880981
4	45.661537	29.60108	145.0	13.0	45.661537	19.77138	2.7375956	21.007158	-6.8408194	15000	-2.5431316e-08	332.30838	-0.015686095	-40.91739	0.638281	0.010749265	0.067	79.0	12.751506090164185
5	87.29412	40.97096	188.0	30.0	87.29412	24.0416	4.635272	25.457975	-20.470034	18000	-4.196167e-08	598.03894	-0.01083666	-165.6261	0.63001186	0.0047863536	0.051333334	79.0	15.161100625991821
6	124.166664	55.301197	200.0	26.0	124.166664	31.734709	6.272667	33.828945	-15.853853	21000	5.340576e-08	731.9348	-0.010891143	-212.10132	0.61538106	0.0035338928	0.036	79.0	17.569393396377563
7	149.4	45.80109	200.0	21.0	149.4	36.862488	7.8200502	42.46258	12.679821	24000	6.357829e-09	593.5866	-0.0060610087	-213.78973	0.5995046	0.003960305	0.009666666	79.0	19.988049268722534
8	187.125	19.358057	200.0	139.0	187.125	45.346825	7.5421934	49.651405	14.521294	27000	1.780192e-08	505.49857	-0.003874443	-125.11069	0.5962526	0.0028018297	0.038333334	79.0	22.480448961257935
9	169.76471	49.922913	200.0	14.0	169.76471	53.497353	7.097539	55.522987	12.11331	30000	-1.0172526e-08	495.0154	-0.005152931	-121.89526	0.5982183	0.0066463305	0.033666667	79.0	25.07062005996704
10	163.33333	48.473362	200.0	38.0	163.33333	39.953377	18.182056	58.769768	1.8593458	33000	1.6530354e-08	545.45715	-0.005768511	-221.83423	0.59608054	0.017026927	0.218	8.0	27.56483793258667
11	187.13333	33.65683	200.0	69.0	187.13333	53.484905	12.559768	61.319965	11.605789	36000	1.2715658e-08	438.68326	-0.0019351349	-40.90561	0.5966561	0.0035299454	0.023	79.0	30.081035614013672
12	197.8	5.9576283	200.0	178.0	197.8	54.50476	12.375269	63.099094	14.439718	39000	-2.0345052e-08	387.5565	-0.001843193	-109.82175	0.58325	0.0027549258	0.0123333335	79.0	32.62840175628662
13	186.8	37.94417	200.0	53.0	186.8	58.022068	11.589789	65.94975	6.9340124	42000	-7.629394e-09	417.68765	-0.0040468764	-41.30533	0.57792974	0.006625178	0.040333334	79.0	34.96612000465393
14	193.26666	25.193827	200.0	99.0	193.26666	56.678837	11.134037	66.98929	37.39324	45000	1.5258788e-08	372.27142	-0.0016695302	-50.591003	0.5874952	0.0007983209	0.0123333335	79.0	37.40888714790344
15	200.0	0.0	200.0	200.0	200.0	56.157215	11.94196	68.63301	37.27894	48000	-3.814697e-09	389.20358	-0.004432058	-25.317657	0.56481355	0.009392183	0.050333332	79.0	40.08826494216919
16	200.0	0.0	200.0	200.0	200.0	51.172543	13.635487	70.59779	26.148466	51000	1.6848245e-08	403.82166	-0.002246808	-100.908905	0.56571937	0.0006528453	0.035	79.0	42.569642543792725
17	200.0	0.0	200.0	200.0	200.0	61.200634	11.857952	72.381386	19.252565	54000	7.629394e-09	341.6625	-0.0043458794	-80.78168	0.57002586	0.004894274	0.063	79.0	45.01879835128784
18	200.0	0.0	200.0	200.0	200.0	52.326324	19.888798	74.35963	14.38615	57000	-5.086263e-09	152.4214	-0.0061256546	-35.287407	0.5623227	0.0053585027	0.042999998	79.0	47.43086910247803
19	195.06667	18.458843	200.0	126.0	195.06667	64.380165	13.596265	76.44507	20.502964	60000	-1.0172526e-08	295.20413	-0.0036029434	-120.17351	0.5572397	0.005625599	0.058666665	79.0	50.03174901008606
20	200.0	0.0	200.0	200.0	200.0	66.07795	16.878344	76.973236	13.8684025	63000	1.0172526e-08	565.67786	-0.002333702	-182.88379	0.54668856	0.0026194754	0.026	79.0	52.59837341308594
21	200.0	0.0	200.0	200.0	200.0	55.31388	12.8841305	70.791374	23.539888	66000	0.0	279.69785	-0.0019819513	-45.082413	0.54870325	0.0042345678	0.019	79.0	55.21756148338318
22	200.0	0.0	200.0	200.0	200.0	54.302917	15.817398	75.254036	23.607857	69000	-5.086263e-09	294.08798	-0.0028156738	-40.930527	0.5546911	0.0051818504	0.042	79.0	57.64867663383484
23	200.0	0.0	200.0	200.0	200.0	67.661095	9.920699	76.76776	30.81074	72000	6.0399374e-09	560.864	-0.0030390061	-125.89151	0.5530768	0.004774823	0.032333333	79.0	60.10172915458679
24	200.0	0.0	200.0	200.0	200.0	55.38046	13.545562	72.86351	14.519971	75000	1.0808309e-08	322.7748	-0.002359598	-38.277344	0.5514459	0.00291617	0.033999998	79.0	62.52677083015442
25	200.0	0.0	200.0	200.0	200.0	52.194626	17.505404	76.12706	13.397292	78000	6.357829e-09	280.1952	-0.002399489	-52.761337	0.53956085	0.0035356355	0.021666666	79.0	65.03119134902954
26	200.0	0.0	200.0	200.0	200.0	66.645805	12.664976	79.11702	20.079742	81000	-7.629394e-09	560.4211	-0.00066550955	-146.67755	0.5428494	0.00086268183	0.012666667	79.0	67.45166039466858
