Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	11.266767	6.739406	61.390846	3.6560757	23.571428	0.03654234	0.1496305	0.38356182	-0.27951974	2000	-0.002910042	52.49795	0.0	-27.772427	0.91893846	7.1525574e-10	1.8663105964660645
1	13.06517	6.2505803	33.049065	4.195967	24.725	3.4836605	3.1529107	7.619082	-7.027979	4000	-0.044818267	21.525942	0.0	-6.4339905	0.9190386	4.053116e-09	3.7139956951141357
2	13.885549	6.8082414	35.939907	4.4711976	25.24359	4.187117	4.516421	10.958582	-6.3611484	6000	0.008536225	18.647673	0.0	-2.9580383	0.91888183	3.5762788e-09	5.463641881942749
3	14.908528	7.706928	44.014458	4.6136947	24.666666	5.112575	4.9930763	13.607283	-5.258422	8000	0.008919235	19.558754	0.0	-2.464964	0.9188015	5.602837e-09	7.19650936126709
4	17.714348	14.383904	78.97354	2.6577296	28.169014	5.6185718	5.924912	16.764359	-5.510301	10000	-0.029167246	78.40911	0.0	-15.584702	0.91879404	-7.1525574e-10	8.963355541229248
5	16.506296	10.594218	57.12799	4.908873	27.082191	8.062992	7.6471524	22.374495	-3.6847415	12000	-0.0051349946	40.73487	0.0	-5.2240105	0.91873574	5.3048135e-09	10.73629355430603
6	20.132404	15.209335	97.598816	4.162012	27.84507	8.486459	6.848215	23.307392	-3.2814763	14000	-0.0118252495	85.317825	0.0	-9.71225	0.91867715	1.7881394e-10	12.462571859359741
7	21.780636	19.000986	131.99843	5.793362	29.833334	9.728674	8.2549095	26.971989	-8.080733	16000	0.029619478	123.09303	0.0	-19.888283	0.91861457	2.9206277e-09	14.183347463607788
8	29.587374	38.133743	268.8151	5.672592	37.25	11.65898	9.657725	34.904446	-5.078959	18000	-0.05056633	566.75323	0.0	-168.82364	0.9185957	-3.397465e-09	16.106563806533813
9	28.12102	36.570316	211.04944	6.0833817	34.12069	16.392466	16.365355	48.75993	-7.0391884	20000	-0.08789314	475.11703	0.0	-61.62561	0.9185288	6.4969066e-09	17.910022258758545
10	41.31188	47.332535	248.01773	7.766031	40.625	22.87239	17.269989	54.59355	-4.996293	22000	0.002480545	817.22327	0.0	-175.59863	0.9184341	-8.3446505e-10	19.733089923858643
11	47.12414	54.883823	210.24582	6.225709	45.0	27.781294	19.589306	60.528553	-19.204943	24000	-0.03615316	903.32367	0.0	-147.93188	0.91834664	4.1723253e-10	21.720633029937744
12	54.759464	56.86907	243.92082	6.6127486	47.595238	33.897224	20.017193	64.41193	-9.808524	26000	-0.024093015	985.78033	0.0	-162.1159	0.91825175	-2.2649767e-09	23.40573000907898
